Evaluations,Fitness
30,1108738.818002
60,994331.666409
90,948758.123344
120,892000.110052
150,676035.977858
180,578184.071713
210,533736.432949
270,448389.102662
330,387023.982962
480,342238.258166
600,321527.701378
630,291821.006267
660,160755.616230
840,139999.353976
1350,134656.965225
1560,116039.644190
4230,115766.856116
4260,107528.862423
4350,107514.255333
4410,105283.647035
4590,103104.551502
5010,102435.416566
5070,99186.700489
5250,97806.957928
6690,97337.431581
6750,90574.286862
7800,90355.206711
7830,90305.891671
10620,89821.407341
11070,89801.496063
11280,89677.815435
11490,88751.361079
11730,88738.487908
12030,88680.868150
12510,88528.981550
12630,88190.485289
13950,88127.590378
14280,88030.529908
14370,87948.132588
14490,87942.464134
14520,87880.689465
14640,87836.615073
14820,87813.978886
14850,87812.010386
14880,87805.410125
14910,87798.750056
14940,87790.065597
15000,87788.233002
