Evaluations,Fitness
1,9154977.547595
2,1010924.467673
5,889281.441209
15,777506.272344
29,527364.893419
66,413795.628742
128,279531.553745
152,235562.773128
156,218009.943815
181,147398.490798
308,145986.351540
426,125478.020381
650,121597.596380
784,98981.036116
827,75172.857287
1027,70706.498722
1349,66141.369488
1658,65209.306230
1756,55991.674692
1835,55458.966824
1900,50645.015131
1971,44907.756481
2063,40566.911758
2074,38477.289555
2081,29292.966902
2097,24852.955670
2110,20278.580385
2182,16314.418597
2255,15578.351052
2268,12457.614336
2374,11576.571241
2498,8135.557176
2517,8042.788380
2561,6098.033271
2578,5925.690843
2632,3675.693026
2645,3199.643221
2842,2516.803880
2912,1776.804900
3228,1204.700226
3296,955.823575
3333,786.534097
3536,711.429481
3668,577.845190
3734,554.446727
3885,502.107196
3944,459.418884
4013,449.869272
4017,442.147123
4028,393.355253
4032,366.025788
4053,298.964952
4111,271.989368
4152,253.903959
4182,191.959260
4320,189.054618
4498,152.552083
4519,115.278967
4704,107.185444
4743,104.633242
4762,93.925743
4803,76.263804
4815,73.350254
4940,65.655493
5047,63.457432
5154,63.353663
5183,54.614896
5227,49.363609
5244,44.188357
5245,42.621935
5275,38.289172
5303,33.887841
5309,32.640020
5316,32.571544
5322,31.113956
5346,27.353011
5489,24.711696
5599,22.933918
5613,22.642029
5625,17.278709
5724,14.947228
5851,13.658178
6001,13.183510
6006,12.186076
6056,11.531412
6068,10.337153
6069,9.150935
6150,7.780882
6219,6.805894
6246,6.702358
6279,5.909291
6325,5.255129
6412,4.959263
6469,4.951940
6568,4.379100
6691,4.203882
6775,2.894723
6817,2.722104
6882,2.520197
6907,2.468108
6957,2.426170
6993,1.862364
7022,1.502488
7055,1.087704
7124,1.028556
7326,0.971804
7362,0.963863
7380,0.776936
7427,0.690065
7478,0.609648
7495,0.606623
7525,0.550383
7765,0.508442
7772,0.462337
7805,0.455173
7810,0.447208
7811,0.413056
7820,0.406323
7824,0.390965
7835,0.374154
7849,0.374088
7876,0.333817
7892,0.330282
7920,0.315622
7926,0.248311
7964,0.236306
7967,0.231531
7970,0.217384
8085,0.214671
8115,0.211773
8129,0.186433
8191,0.175528
8192,0.151711
8258,0.143640
8335,0.136649
8372,0.115297
8410,0.106621
8555,0.095491
8609,0.086628
8660,0.081505
8735,0.076729
8792,0.076604
8800,0.076225
8809,0.075210
8811,0.074468
8853,0.073611
8923,0.069905
8942,0.069720
8943,0.062153
8954,0.061583
9025,0.059919
9031,0.052858
9186,0.051782
9230,0.049024
9251,0.042589
9297,0.042278
9331,0.041441
9347,0.041006
9371,0.041000
9376,0.039885
9388,0.038666
9432,0.032300
9513,0.030954
9533,0.028096
9549,0.027598
9609,0.025920
9637,0.025906
9664,0.023400
9787,0.023210
9814,0.022218
9842,0.020041
9862,0.019946
9865,0.019066
9931,0.018043
10078,0.017341
10184,0.014578
10270,0.014551
10280,0.014494
10293,0.014337
10330,0.013749
10423,0.013286
10477,0.013218
10524,0.013007
10557,0.012837
10609,0.012223
10686,0.012099
10753,0.011811
10754,0.010653
10771,0.010587
10794,0.010156
10889,0.009917
10911,0.009616
10953,0.009144
10986,0.008722
11008,0.008301
11054,0.008146
11061,0.008123
11084,0.007952
11095,0.007904
11115,0.007903
11130,0.007665
11142,0.007258
11143,0.007215
11163,0.006989
