Evaluations,Fitness
1,1623.816514
2,1568.709675
4,1555.271264
5,1465.984298
21,1253.214931
47,1232.265675
51,1175.322430
65,1168.141318
76,1038.792318
78,1029.621444
117,879.311555
205,844.224074
247,831.588409
285,824.499696
317,808.157254
342,801.799605
369,714.825182
455,706.724045
804,701.535922
1133,699.748666
1147,665.571307
1171,651.360807
1226,640.089746
1243,630.641336
1292,605.929573
1776,600.410082
1799,591.277787
1837,578.568020
2069,558.798900
2651,548.533101
2773,532.196391
4281,523.446182
8894,508.582382
9460,507.279133
9818,506.277965
9946,499.213833
9987,484.782932
11606,477.272905
12106,476.152581
12225,471.687179
12354,470.600038
12525,468.811408
12766,467.535807
12973,464.896503
13004,464.831113
13135,464.436989
13153,459.688964
13325,458.595440
13334,458.095191
13476,454.028689
13714,453.946740
13854,453.260267
13902,453.181535
13953,452.399254
13984,452.336965
14005,452.291087
14013,452.119485
14058,451.632411
14148,451.602426
14155,450.719920
14313,450.709098
14344,450.387987
14380,449.408821
14392,449.275132
14396,449.113891
14431,448.644988
14432,448.459674
14443,448.178508
14472,447.800984
14491,447.138927
14506,447.125778
14527,446.383420
14572,446.336630
14574,446.301439
14586,446.041689
14597,446.027061
14612,445.950633
14614,445.897578
14635,445.653988
14674,445.635134
14680,445.501011
14702,445.103727
14782,444.931339
14808,444.908260
14827,444.780475
14836,444.630720
14868,444.600037
14881,444.561550
14888,444.523660
14893,444.485146
14911,444.483648
14913,444.438613
14928,444.429379
14937,444.399217
14942,444.353471
14975,444.352774
14978,444.349774
14992,444.341104
14994,444.340534
