Evaluations,Fitness
1,22343299.919655
2,6948670.826986
3,3304831.369777
4,2037562.889502
13,1633257.449340
18,1175908.783959
25,1168564.259626
30,914165.422509
64,469244.677570
157,429755.646238
189,412349.264456
194,326990.815588
241,303304.640218
416,286141.048896
506,285046.633302
568,283370.407440
654,255788.151853
686,248464.587992
710,210755.200033
779,207903.354242
789,195734.501585
1464,175714.330075
1630,164652.046109
1654,163307.210875
1689,154395.280419
1754,148330.065174
1844,148209.744425
1902,147910.447810
1917,127847.626306
2045,125243.592054
2164,119209.240347
2810,117555.834790
2909,115509.594884
2952,110830.040296
3452,107736.516947
3513,106844.807387
3533,104049.217290
3865,99504.090032
4650,98563.900799
5109,97827.775147
6013,94284.185339
10303,93841.829608
11264,93526.694602
12162,93463.403800
12245,93431.687860
12276,93238.195321
12677,93139.096223
12736,93030.078422
12855,92634.058411
13113,92614.722988
13168,92560.717347
13180,92518.023256
13202,92492.181571
13222,92331.455039
13250,92086.781381
13283,92033.653817
13347,91969.840298
13357,91803.686517
13362,91762.772299
13384,91569.871810
13649,91569.584714
13651,91561.945207
13752,91442.055647
13777,91434.428364
13896,91410.854983
14028,91388.620458
14033,91378.977578
14074,91340.299390
14110,91327.828979
14145,91322.864466
14163,91297.813545
14181,91281.051277
14196,91272.258408
14225,91269.998603
14234,91255.108432
14248,91213.631688
14262,91158.382030
14267,91156.213041
14349,91105.092795
14369,91066.469049
14412,91016.518895
14560,91014.595094
14610,90982.260336
14652,90970.747687
14676,90935.889739
14717,90935.752395
14738,90915.242487
14805,90914.236128
14899,90910.813441
14923,90902.519814
14927,90901.037152
14963,90900.248759
14972,90899.073415
14980,90897.685975
14997,90897.309698
