Evaluations,Fitness
30,239441.521872
60,176900.339544
90,153765.709354
120,119356.231599
150,108577.154122
180,99733.789324
210,90484.979830
240,77369.817026
270,70154.146092
300,67130.671811
330,61514.838803
360,56534.148136
390,51694.573328
420,49728.717775
450,47890.375181
480,45294.324714
510,42338.558862
540,41508.674908
600,39691.391450
690,36080.726842
720,31025.220132
780,27667.144442
1680,25960.124493
2010,24683.599034
2190,21870.909461
2490,21200.019371
2640,20969.184074
2940,20768.315166
3660,20562.739414
4290,17648.058493
6660,17030.485909
7020,17015.591772
7380,16527.228315
7440,16503.513940
7470,16458.054030
7590,15662.375921
8220,15537.973458
8310,15063.307916
8730,15047.635251
8850,14494.112736
9900,14299.171134
10410,13904.371529
10890,13846.874195
11190,13821.573239
11250,13696.517871
11370,13544.474252
11490,13471.136132
12240,13387.698345
12330,13346.556099
12390,13338.864191
12420,13314.403617
12600,13275.823158
12660,13255.353175
12690,13149.070718
12900,13115.926339
12960,13049.446241
13020,13039.055469
13050,13015.624090
13170,12930.257331
13320,12924.004233
13710,12913.281370
13740,12902.084580
13770,12898.026985
13800,12879.480459
13890,12871.320343
13920,12827.497491
14040,12823.498244
14100,12805.230313
14340,12804.728141
14370,12800.951097
14400,12792.737029
14430,12789.750949
14460,12788.934209
14520,12783.193354
14550,12780.411554
14580,12776.087923
14640,12774.807655
14670,12773.129407
14700,12769.389338
14730,12767.716507
14790,12767.502798
14850,12766.248799
14880,12765.903827
14910,12765.311444
14940,12764.888446
14970,12764.507080
15000,12764.241839
