"Evaluations","Fitness"
1,893871944.750422
3,893161713.555316
4,678236745.230723
6,590515726.454597
13,548426570.892899
31,517663998.662822
61,476926181.099271
62,460520422.699455
96,424892358.485336
97,375625475.851832
122,287093064.337098
156,270361780.017199
222,243823989.056043
239,197303543.436102
246,192505143.418105
277,130318189.443462
314,108628810.445643
346,107750699.957309
348,93245396.7296429
351,83374879.0356462
368,67647433.3709898
377,42845466.0959962
443,35292968.6809986
485,33847648.1174495
502,23361820.5759494
535,15637815.4264403
565,11758371.6441043
620,11300928.2101546
624,10620453.8330125
628,9525491.34516489
636,7317539.45622899
703,7238854.83585699
739,6329661.35857863
771,3709928.23417256
829,3039523.49741407
839,2594573.12883114
867,1901745.27243303
890,1530548.14969993
904,1390471.30346358
951,1201709.20323094
969,892289.831763873
1009,832582.76947192
1015,743980.197865991
1039,662673.635175859
1090,586572.200637188
1101,585107.824916409
1105,534920.633536883
1124,426471.066557684
1154,328516.824763457
1185,248266.510562639
1235,205742.73946505
1247,191876.656907483
1254,186579.744637103
1278,112429.304532055
1300,69901.6011891985
1315,68962.3659086169
1330,67185.6868529779
1362,45002.7913839333
1384,42132.0086734773
1391,31977.3868686222
1420,21474.2462945031
1437,16950.3786110641
1487,15812.442874507
1512,13301.3876560303
1515,13140.8042666639
1519,12241.4217206699
1542,11664.129771388
1572,10790.2744769707
1576,9967.5447078826
1589,7007.19433632048
1596,6730.1796635518
1617,5212.14930642666
1644,4139.04087748416
1674,2309.69978879286
1703,2244.00393442
1704,1625.3737584699
1769,1150.36925797557
1794,994.022673945369
1842,774.642162434069
1847,766.524076448198
1859,761.488376321634
1878,710.504506048276
1879,551.920763802267
1906,528.322797434316
1909,527.936408894113
1932,484.701077162158
1946,481.908259883126
1961,479.488991154598
1969,402.804832560202
1973,354.929517855892
1997,334.025775444458
2006,332.906976793138
2013,307.631944390221
2015,203.438614327104
2065,199.252388170059
2096,199.125656531789
2106,191.181025247344
2131,173.618747101893
2147,168.797974906334
2166,159.106278418394
2174,151.963043522518
2180,134.653364003657
2207,124.176829552882
2219,114.186335127371
2240,106.214871303732
2264,102.050221477792
2270,96.7331906627635
2299,95.5573821678577
2304,91.0271455797183
2310,85.8364858136169
2328,83.449833616939
2329,81.7058499760359
2359,79.9097663323799
2377,78.0980087507144
2400,74.4332500749745
2421,70.9334024589662
2445,70.6206330074991
2462,68.4672965065824
2482,68.428361294163
2515,68.0445125162344
2521,67.886784197437
2528,67.8499480604908
2529,65.1428118635651
2553,63.9999942602703
2585,62.668087206037
2613,62.576659122979
2617,62.0275633107988
2622,61.7263387434677
2628,60.9429553372376
2653,60.894671980057
2682,60.7826368828872
2717,60.4660305871918
2748,60.0879424764011
2770,59.920750412905
2780,59.8760470243723
2798,59.6350946745922
2811,59.0426721867947
2833,59.0058824638895
2835,58.9868443824436
2842,58.8394504970436
2867,58.7577907789323
2868,58.7432909031503
2870,58.7376976125772
2901,58.6069627117411
2930,58.6024357413415
2947,58.4134500243243
2984,58.370293462269
3016,58.2794246438183
3038,58.1310988683781
3114,57.9710474127563
3282,57.8216148818931
3393,57.6588042557125
3472,57.6451811487417
3555,57.3332440677575
3920,57.3332146541889
5046,57.3135497936263
5177,57.2986397408987
5210,57.2368335020458
6142,57.2338623250478
6319,57.2304618029758
6888,57.2147035372923
7124,57.2088407167641
7380,57.2047021157393
7850,57.1826748083815
8952,57.180769385528
9207,57.1685941653758
10183,57.1684475877731
10196,57.1650990269189
11156,57.1586425468039
11577,57.1576663477944
11667,57.1571710482472
12088,57.1571428220685
12674,57.1566174435422
13057,57.1560932629721
13165,57.1554568373921
13212,57.1539038126458
13272,57.1524569554989
13294,57.151399925419
13589,57.1496297321816
13743,57.1486572099066
13957,57.1479083688424
14128,57.1473719432958
14186,57.1461776036085
14247,57.1456571945939
14435,57.1453880542908
14472,57.1453109245144
14546,57.1443451492271
14619,57.1439536444448
14693,57.1436727132987
14744,57.1433675844286
14767,57.1431028075484
14810,57.1430206345027
14879,57.1428574348872
14889,57.1427839562241
14904,57.1426146685923
14940,57.1425549789358
14942,57.1424776779674
14943,57.1424769980053
14945,57.1424234888342
14955,57.1423867155867
14976,57.1423588425899
14979,57.1423540840951
14983,57.1423312972078
14984,57.1423108753716
14996,57.1423047751212
14998,57.1422297577134
