"Evaluations","Fitness"
1,14169358.8233607
2,9214383.24842029
3,6620150.79761459
16,6596115.89271962
31,5219471.36665909
57,4651604.18534961
66,4561995.16458168
79,4356987.2473425
84,4262927.61842161
97,3934080.2272423
99,3910994.60689467
129,3872108.06611223
132,3710936.05311543
133,3125438.33085799
151,3060047.70455535
166,2905771.03935745
173,2650625.94099336
220,2462205.35013081
223,2428438.59990315
240,2206873.25068787
284,1988536.32207326
334,1974401.44536546
347,1959346.89248585
370,1506875.2319566
474,1323453.13447202
598,1307173.25558701
608,1276553.59493475
624,1083523.50694279
673,1033420.21297154
735,984127.118098859
847,940182.346772931
911,869548.530142291
1209,829259.507016958
1308,810405.666658215
1400,762480.87062321
1632,761622.609395652
1731,704852.752907541
2297,701480.343640654
2416,687527.548872086
2867,655888.322219965
3073,619361.736976309
3206,567164.991848077
4058,559802.641122451
4968,530175.848727373
5269,528008.323527552
5281,522094.953759482
5562,521399.602360408
5637,491074.17464281
7974,490000.638319378
7993,484333.328414525
8232,473648.814789344
8519,472045.12240537
8621,467906.88830446
8807,455278.40400213
9396,446989.209280449
9578,433853.419661452
10062,432756.489265454
10194,425505.043378328
10293,425046.129808158
10381,424158.030260829
10556,419092.491034586
10637,418575.38509699
10728,417625.503540126
10873,416620.539073428
10902,413756.745514768
10917,410752.783774145
10955,405295.028915602
10968,404479.110442742
10994,403239.590525468
11019,402905.719570707
11076,401389.065918773
11126,399273.111911185
11132,392400.284555426
11152,388657.552666572
11154,385900.069542938
11199,385600.56396781
11225,385549.419280128
11245,384227.114057751
11295,378553.97898455
11311,376973.170091423
11355,372220.296978253
11356,366595.752622894
11564,365633.997728267
11636,365231.802192658
11739,364993.585697272
11767,362530.749434797
11922,361595.917246461
11966,361154.933075634
12018,361126.51711728
12070,359540.039913061
12103,358965.97499427
12133,353982.616838836
12192,353793.745076991
12217,353345.383088947
12238,352839.948951837
12246,348536.655030093
12404,348332.916807339
12459,347418.679182234
12544,343017.543633523
12564,342284.318139944
12868,340616.083598249
12984,339878.753778062
12986,339428.877615714
13005,338842.493958583
13118,338381.130253378
13161,337241.323970355
13319,337188.908335492
13424,336930.300680575
13477,336170.465669313
13556,335880.156810407
13595,334948.578423492
13632,334515.576017549
13680,334356.172400477
13698,334178.492273215
13783,333198.476946856
14007,332474.708948664
14083,332101.938739334
14098,331925.988506384
14212,331502.053484159
14281,331324.039696496
14312,331278.710950748
14339,331270.505439067
14375,331119.320492211
14394,330920.633574011
14417,330792.309313096
14465,330686.378475154
14500,330544.506454519
14549,330469.092350541
14562,330294.522042033
14613,330254.052377119
14627,330123.122090807
14630,330070.731334829
14651,329866.326035418
14674,329865.466298235
14683,329831.21173071
14690,329826.32595174
14695,329808.975915596
14698,329781.88977697
14719,329780.718120484
14739,329754.252448308
14757,329744.646616948
14766,329699.024283556
14781,329697.057829371
14792,329665.721872664
14796,329662.742222261
14798,329644.013471167
14799,329595.391645191
14808,329584.693356797
14809,329521.884419795
14811,329501.752282572
14830,329495.996215674
14834,329475.764442708
14837,329474.86309987
14849,329471.405481998
14853,329456.761633317
14855,329438.646819055
14859,329431.131676278
14863,329427.290407278
14864,329413.980187358
14875,329403.483097022
14882,329398.202841339
14891,329389.582833862
14893,329379.724382452
14895,329378.840814276
14899,329349.548435306
14916,329346.921014328
14921,329301.294125666
14929,329292.05404228
14931,329280.348581382
14934,329268.793239363
14938,329258.576856819
14946,329251.441282416
14947,329241.090962196
14959,329238.998046425
14963,329219.409692358
14967,329214.805082754
14976,329212.18877473
14982,329209.562370279
14985,329201.808795521
14992,329195.038850764
14994,329190.235677631
15000,329180.785298781
