Evaluations,Fitness
1,1952481088.961305
2,944673848.081725
15,512424337.197450
100,392838419.592386
111,355691740.592415
139,314441855.624669
142,290717282.812756
204,274925102.796608
256,257271485.369990
320,237442726.856214
348,210522975.264063
382,209983199.035778
422,203983970.923373
440,177168338.517721
486,161105110.794327
513,150131439.211695
520,123268370.512773
539,111164586.532862
628,90456411.242775
794,89124028.966782
832,78664468.726449
882,51548786.560327
1137,51060873.162436
1143,49787047.454556
1180,48625766.339251
1228,47495341.918218
1390,33909451.670882
1399,23505538.356322
1563,22190630.581308
1630,19868677.841219
1827,17174307.292803
2126,13230428.838719
2167,12605088.804127
2304,12061154.198315
2405,8333745.805349
2518,7166176.305864
2649,6829161.573917
2787,5900230.179374
2828,5778651.153963
2837,5214579.846376
2936,4467907.343559
3033,4147207.820046
3119,3510046.176594
3157,2716984.489840
3162,2040589.299033
3205,1808768.991725
3206,1595883.518209
3326,1594606.547975
3822,1500538.844793
4054,1067342.781849
4334,1027216.890810
4398,994954.640488
4460,896533.728367
4564,882851.836569
4595,864921.209645
4614,864515.113006
4622,832064.192195
4651,704598.615680
4659,703295.392625
4771,546660.714956
4817,518501.779584
4905,513690.478392
5072,479678.307066
5217,471266.359163
5229,459100.080517
5334,454285.220143
5342,424743.624057
5362,405247.840216
5378,395703.081577
5417,311117.173706
5427,283889.772007
5430,261792.850934
5546,231999.198283
5560,190909.347786
5655,176684.965858
5683,139403.542851
5979,134512.457163
6020,131005.151820
6024,120989.172108
6050,114377.550554
6062,111847.980738
6075,93001.646500
6098,82269.708813
6269,81712.427366
6295,78899.934405
6467,72104.275968
6478,71972.945194
6501,67389.915307
6505,61907.883034
6517,58838.016205
6539,57079.650400
6541,50726.523439
6582,50222.432036
6602,45590.117112
6641,41681.124795
6650,39528.376105
6655,37736.586776
6682,28201.894007
6706,27390.358073
6754,27127.586978
6814,26646.268545
6822,24984.240021
6833,24943.309483
6861,21506.995781
6869,18058.852341
6986,15986.631781
7018,15147.829176
7101,13402.815738
7292,13381.521971
7309,12326.483185
7355,10820.233593
7403,9675.826778
7487,9257.336194
7511,8650.101201
7540,8473.857322
7598,8140.910840
7698,7312.130812
7728,7137.731051
7822,6524.154177
7905,6279.859847
7936,6247.408139
7969,6217.339894
8030,6032.740732
8031,5687.663558
8040,5618.161455
8043,5607.659603
8076,5447.182573
8090,5309.774484
8117,4259.836603
8120,3900.085223
8215,3611.069116
8251,3305.964645
8277,3248.677491
8400,3074.031983
8429,3007.194991
8433,2788.766601
8475,2631.972968
8582,2536.587814
8630,2465.115969
8681,2190.220159
8734,2171.150743
8771,2159.539458
8812,2132.601419
8816,2084.602230
8824,1870.297878
8832,1862.250102
8847,1834.962056
8849,1596.705548
8865,1499.639177
8900,1486.564239
8939,1433.766777
8963,1332.737237
9007,1252.564235
9032,1088.599219
9104,1072.966706
9207,1014.289373
9287,1012.450633
9338,991.424481
9373,987.833309
9385,943.689573
9392,919.135817
9484,894.427692
9491,880.633164
9616,854.929833
9651,844.025021
9737,769.685022
9852,766.514358
9893,763.474941
9972,733.484180
10056,724.061929
10062,671.077656
10091,651.890002
10137,643.306079
10170,639.819880
10281,608.861933
10314,594.750379
10397,593.295815
10418,578.485821
10476,566.553384
10506,553.849604
10526,549.873971
10530,549.641395
10541,537.240724
10587,524.280748
10643,513.680454
10686,503.920334
10804,489.822674
10863,489.670583
10898,472.283387
10900,453.902626
10914,439.006099
10935,433.777852
10936,433.360520
10951,410.684415
10966,399.563994
10984,368.455152
11000,349.689535
11044,329.966276
11076,329.772389
11077,329.171236
11086,318.553830
11206,317.341484
11216,308.773752
11228,285.188196
11254,278.018934
11263,269.144936
11308,266.319492
11316,262.551804
11345,261.819001
11350,260.104047
11379,254.709649
11412,247.432913
11461,246.377961
11466,234.118550
11470,223.927550
11491,217.954778
11531,215.145758
11556,203.399017
11666,195.360493
11700,191.218042
11775,188.360287
11819,180.807450
11825,178.441578
11832,173.860455
11836,168.383719
11854,158.980801
11863,154.473369
11873,154.356689
11874,151.099573
11998,145.466111
12001,144.105709
12023,141.537192
12055,137.619377
12070,135.521182
12091,130.203904
12099,129.724099
12133,128.192395
12160,128.159445
12165,124.881085
12173,120.239301
12179,118.484921
12229,116.677430
12249,113.739666
12269,110.190543
12316,109.104516
12340,105.974775
12357,102.873002
12393,101.239163
12425,100.681716
12441,98.324442
12443,97.188264
12465,95.116357
12474,92.799897
12476,89.146246
12509,87.733875
12657,87.065773
12662,86.361187
12664,86.336346
12671,85.973162
12684,81.094248
12686,81.024463
12688,80.869001
12695,80.198318
12727,78.611062
12738,77.040804
12825,75.383850
12869,72.519727
12913,70.635506
12946,67.652019
12978,66.460004
12995,66.292942
12998,65.205661
13044,64.507149
13051,63.282690
13056,63.238774
13088,63.076181
13095,61.046712
13096,60.896802
13113,60.814809
13115,59.414041
13128,59.158415
13149,59.130090
13150,58.282622
13155,57.989178
13157,57.742768
13158,57.516118
13161,55.227758
13165,54.686555
13206,54.471313
13212,54.308942
13214,53.782377
13221,53.004914
13231,52.903760
13232,51.776626
13258,51.431535
13266,49.585458
13295,49.362096
13306,48.994776
13311,48.796530
13323,47.414011
13337,46.620717
13357,46.202863
13358,46.184304
13360,45.870033
13362,45.794838
13376,45.094133
13401,44.614196
13417,44.483671
13423,43.981832
13428,43.560706
13430,43.378540
13445,42.904960
13463,42.273389
13482,42.214162
13488,42.105737
