Evaluations,Fitness
1,1764.542196
2,1527.598334
5,1441.953274
8,1378.358619
12,1308.678567
14,1279.637449
18,1214.642492
26,1205.492242
78,1155.898502
86,1145.672777
92,1088.353385
93,1087.792437
95,1035.151130
122,1018.385283
133,943.765314
137,912.100356
163,903.226359
166,851.020096
189,823.220803
630,744.374119
837,725.465155
1017,711.737543
1636,711.027301
1715,699.193615
1798,691.188046
1814,690.130317
1882,668.761308
1894,631.118648
2268,593.035436
2588,589.800763
4191,589.405751
4894,578.325506
5721,555.091234
5760,533.830148
5998,514.786230
6514,491.487302
6537,483.241701
7667,472.417507
9158,466.906750
9762,466.289098
9782,465.298284
9907,458.707744
10593,440.009628
10697,431.183955
10727,429.069204
10760,423.604465
10764,421.369858
10775,421.273000
10951,411.560511
10994,406.180216
11000,401.511510
11471,379.272628
12123,376.280514
12158,359.082637
12509,347.032304
12994,346.977129
13106,344.759368
13126,344.460965
13179,334.512902
13268,332.123426
13275,328.981812
13324,327.955700
13339,324.890174
13517,324.382202
13653,323.407486
13664,321.007224
13681,318.999529
13880,306.160024
13992,305.801821
14009,305.783006
14025,304.032522
14083,301.892285
14102,301.229583
14136,298.798112
14170,297.868324
14196,297.499978
14206,296.948937
14227,295.932299
14243,294.963276
14284,292.212662
14424,291.671688
14466,289.358749
14544,288.951743
14553,288.849142
14563,288.562967
14578,288.439253
14584,288.287434
14612,288.206291
14624,288.157098
14644,287.752335
14650,287.592135
14670,287.303991
14682,286.898727
14684,286.796379
14688,286.787821
14710,286.542342
14715,286.478059
14728,286.160963
14734,286.045482
14736,286.040281
14743,285.800074
14750,285.754677
14752,285.743684
14770,285.383675
14778,285.295501
14788,285.025823
14791,284.854615
14794,284.740869
14801,284.506045
14827,284.331679
14835,284.141725
14853,283.988291
14856,283.950176
14857,283.883511
14863,283.733924
14865,283.698491
14874,283.698373
14876,283.533624
14877,283.524952
14878,283.468657
14879,283.290434
14881,283.222881
14888,283.187728
14897,283.152819
14903,282.931618
14907,282.916075
14910,282.821452
14913,282.718268
14921,282.613420
14922,282.602148
14927,282.582990
14929,282.522030
14934,282.509218
14936,282.396295
14941,282.340096
14949,282.299015
14953,282.293715
14965,282.252883
