Evaluations,Fitness
1,278821
12,263205
40,258959
52,257450
68,244631
71,240720
77,211917
107,191716
111,176887
131,144482
145,136153
173,120783
198,114880
208,114845
209,111713
221,108489
229,94311.1
259,92864.1
261,88319.6
268,86629.2
305,71426.6
328,68166.6
358,58968.4
382,54284.1
416,54157.7
424,49707.2
470,49495.9
486,48179.8
494,47225.2
500,45411.2
526,43945.5
622,42017.5
632,41081.6
640,38230.6
818,36537.8
832,36004.1
1001,33725.9
1303,33421.9
1388,32722
1442,31847.7
1467,29533
1765,28525.7
1931,28366.5
2012,27944
2047,27800.2
2220,27745.2
2223,27206.1
2256,24821
2368,23258.5
2580,22925.7
2752,21305
2869,21161.7
2910,20585.9
3588,19926.5
3968,19611.6
4891,19530.5
4937,18203.6
5117,18005.9
5512,17714.2
5825,17496.9
5987,17050.9
6102,17046.9
6401,16824.5
6647,16776
6673,16726.8
6868,16034.2
7710,15667.7
7967,15559.5
8062,15553.3
8413,15514.6
8716,15253.5
8810,14632.4
9901,14596.1
10460,14444.1
10820,14418.2
11098,14397.1
11203,14351.7
11414,14223.8
11521,14182.6
11637,14093.8
11785,14062.6
11839,13900.3
12192,13897.1
12426,13871.4
12493,13810.7
12733,13753.5
12880,13734.3
12976,13727.8
13002,13711.4
13043,13704.2
13070,13666.2
13205,13646
13207,13620.6
13220,13613.9
13281,13607.9
13333,13589.5
13338,13581.8
13349,13554
13454,13549.6
13465,13524
13538,13514.4
13546,13463.8
13632,13400.5
13720,13392.9
13777,13349.1
13851,13337.8
13863,13323
13896,13313.9
13915,13297.7
13925,13274.6
13936,13255.4
13941,13253.8
13946,13243.5
13975,13221.7
13985,13202.1
14025,13193.6
14028,13179.4
14041,13178.7
14051,13178.4
14054,13170.1
14073,13163.8
14092,13151.8
14093,13146.6
14099,13111.7
14127,13086.4
14178,13084.3
14205,13056.8
14225,13044.3
14245,13035.2
14288,13029
14289,13025
14290,13024.7
14292,13010.9
14302,13006.2
14307,12998.1
14308,12997.7
14321,12972.2
14329,12965.8
14340,12947.5
14346,12946.8
14349,12931.8
14356,12918.9
14368,12912.9
14371,12901.4
14373,12900.6
14375,12890.9
14385,12876.2
14402,12840.4
14421,12837.1
14434,12831.1
14443,12827.3
14446,12822.4
14454,12814.2
14468,12810.2
14475,12804.2
14478,12795.4
14479,12783.6
14484,12778.1
14490,12770.7
14491,12754.3
14517,12748.1
14519,12730
14531,12722.9
14535,12721.4
14538,12717
14540,12715.6
14545,12702.5
14549,12699.2
14553,12696.6
14555,12695.1
14556,12690.7
14561,12684
14571,12675.9
14572,12673.8
14573,12671.1
14576,12667
14577,12666.5
14582,12647.4
14586,12640.4
14587,12636.3
14592,12635.6
14598,12634.5
14599,12617.2
14604,12615.5
14605,12601.5
14617,12594.2
14627,12585.5
14642,12583.6
14646,12580.5
14654,12578.8
14655,12573.6
14658,12571.2
14665,12569.2
14667,12566.2
14669,12564.5
14673,12557.8
14677,12554.2
14684,12545.1
14685,12541.4
14690,12529.7
14696,12526.7
14698,12522
14700,12515.7
14703,12509.9
14710,12506
14716,12494.2
14723,12494.2
14725,12490.9
14727,12488.4
14731,12477.7
14736,12475.9
14737,12465.3
14738,12463.5
14749,12462.7
14750,12461.9
14751,12455.2
14761,12447.9
14766,12447.3
14767,12436.9
14774,12423.7
14797,12419.4
14799,12416.8
14803,12415
14804,12408.8
14809,12404.3
14812,12402.8
14821,12395.5
14832,12393.4
14833,12390.9
14837,12388.9
14840,12384.1
14845,12377.7
14848,12375.3
14849,12375.1
14854,12371.4
14859,12368.6
14868,12368.6
14869,12367.7
14870,12364.7
14875,12363.6
14880,12360.2
14884,12359.2
14887,12358.3
14892,12355.1
14899,12354.9
14900,12354.1
14906,12352.9
14908,12349.6
14915,12349.5
14916,12349.5
14920,12349.4
14922,12348.8
14925,12348.1
14933,12346.8
14937,12346.7
14938,12345.2
14939,12344.9
14941,12344.4
14944,12343.9
14947,12343.9
14948,12343.9
14955,12343.4
14958,12342.2
14963,12342.1
14964,12341.9
14966,12341.6
14969,12341.4
