Evaluations,Fitness
1,211710887818
2,21113300251357
3,21057228835
4,208557373828875
16,207103955595982
34,20073228855
63,203529332537
72,2027939733859
74,2007712087989
84,20001998907
91,202715975853773
92,2001720138915
93,199591873279985
96,198803259918005
104,198331598328
121,197198893132919
122,191937812908
132,191870389072
151,188033771895
152,182327988805532
153,1809301323150
156,18237122970287
181,17902595523719
182,1713778097079
183,173307193272395
193,171398839832318
211,1208980093
212,1021153875
232,15997795373831
241,15181780023198
242,15827700305
247,1818532252118
271,102110939823
272,1371322931
276,1355173210527251
326,13532952705
328,12978709893213
331,1281982315
336,1282721110212
384,12818757503528
415,125075075301
434,12387337995812
478,12235052727819
554,1221811793075933
563,12078808552299
629,1183953203925
636,11597233089
638,110025105329517
668,10917352275198
782,1075519293052209
797,10581727292211
856,105123100898951
952,101985970215
966,10093783928953
1008,1008973087351903
1014,10010181888252
1031,992288557008
1032,95952939787
1134,99327908508058
1145,913538705597257
1350,895792800128002
1375,81925273753
1910,812883973388288
2120,81253853933909
4804,7951513528133
5485,7898729917028
5589,77809581885
5830,70378919018898
6007,75918957778309
6135,7533802115531
6386,7357135139
6957,72370097000
7202,7338132288717719
7839,71705375583855
9987,715080399017507
11933,7058093099799
13948,89753315907
