Evaluations,Fitness
1,1510.8971838826346
14,1480.8927438810786
17,1452.642137251116
74,1449.1657494329716
104,1433.7072522089181
134,1418.5187549848645
151,1416.0894391801494
164,1403.6002577608112
181,1398.878793217764
194,1388.9517605367569
197,1388.4708093590548
211,1379.2800194910349
224,1374.0855122063656
227,1373.134844445922
241,1359.9512457643057
254,1358.8187086436355
257,1358.0688795327894
271,1340.8924720375765
301,1322.103698310847
331,1303.5849245841177
361,1285.3361508573885
391,1267.3573771306594
421,1249.64860340393
451,1232.209829677201
481,1215.0410559504717
511,1198.1422822237425
541,1181.5135084970132
571,1165.1547347702838
601,1149.0659610435546
631,1133.2471873168254
661,1117.6984135900962
691,1102.419639863367
721,1087.4108661366379
751,1072.6720924099086
781,1058.2033186831793
811,1044.0045449564502
841,1030.0757712297209
871,1016.4169975029916
901,1003.0282237762624
931,989.9094500495332
961,977.0606763228039
991,964.4819025960747
1021,952.1731288693455
1051,940.1343551426162
1081,928.365581415887
1111,916.8668076891578
1141,905.6380339624286
1171,894.6792602356994
1201,883.9904865089701
1231,873.5717127822412
1261,863.4229390555116
1291,853.5441653287825
1321,843.9353916020532
1351,834.5966178753239
1381,825.5278441485947
1411,816.7290704218655
1441,808.2002966951362
1471,799.9415229684071
1501,791.9527492416777
1531,784.2339755149485
1561,776.7852017882193
1591,769.6064280614894
1621,762.6976543347608
1651,756.0588806080317
1659,754.1990703723045
1681,748.5783355157354
1689,742.7183295733961
1711,742.259003407166
1719,731.5075887744878
1749,720.5668479755794
1779,709.8961071766712
1809,699.4953663777628
1839,689.3646255788543
1869,679.5038847799461
1899,669.9131439810377
1929,660.5924031821294
1959,651.541662383221
1989,642.7609215843127
2019,634.2501807854043
2049,626.0094399864959
2079,618.0386991875876
2109,610.3379583886792
2139,602.9072175897709
2169,595.7464767908625
2199,588.8557359919542
2229,582.2349951930458
2259,575.8842543941375
2289,569.8035135952291
2294,568.5911308551443
2319,562.3418855949932
2324,560.7542741023427
2349,554.9172353944795
2354,553.187378048713
2379,550.1022941074044
2384,545.8904426942551
2409,543.4409076701778
2414,538.863468038969
2439,536.7272984689693
2444,532.106454082855
2469,530.108701305632
2474,525.6194008259126
2481,524.2425333889488
2499,523.4339340647292
2500,522.259720342019
2504,519.1629799212674
2511,514.5007403440947
2530,512.6284510349449
2534,512.1751551142925
2541,505.02894729924054
2560,503.14412958519455
2571,495.8271542543864
2590,494.12514292062355
