Evaluations,Fitness
1,647524685.5941024
34,484028020.10201955
47,476505248.3840486
62,414598523.4524088
64,282866035.6301622
92,239437731.37864113
93,234848954.4533959
94,171075729.62646875
122,122348327.55139995
125,91933599.86086664
152,61309333.02565302
155,59461710.17472039
160,53080389.88831336
181,50788982.16132189
182,33927450.85706293
190,27053698.55354845
211,25494149.078301217
212,23540035.85690001
232,18628342.484734964
241,15127573.97457535
273,12177508.95659263
288,10805387.797015427
323,9048917.328202827
332,8750433.048718069
342,8198513.967182679
363,7795838.434483815
377,7498009.567837893
400,7167238.94137098
403,6698108.395659895
428,5426815.166664696
451,5206024.408527787
467,4568978.857510568
474,4034914.9881908824
484,3693266.208321329
515,3657162.5485451
604,2415673.1946358387
707,2401942.9726635166
725,2360648.8436872587
746,2117026.932947391
756,2077722.705223143
772,2023730.4317995992
786,1873248.330399625
811,1751011.6366268808
829,1333387.7405651726
853,1165343.711019774
922,995381.3094270346
931,861837.1132187202
941,700665.5035739045
1060,654795.5453994453
1084,597173.8000610711
1204,596082.8405980897
1671,520630.1784752547
1790,472770.43933580443
1840,443184.29826072574
1925,434001.7596341236
1952,362992.5212814214
1979,305084.21083382284
2139,288733.77803328686
2163,239857.84445173544
2295,225270.75471597223
3584,174211.40569278292
5257,144929.89654604218
12202,143452.89127774836
12494,138144.9241409225
12841,113311.82418798919
