Evaluations,Fitness
1,(1231677907.9788554,)
2,(1093182095.2751114,)
3,(798667364.1035279,)
14,(673952807.3696388,)
16,(673895686.090944,)
33,(531370435.16560966,)
44,(452093003.19583297,)
63,(340668160.79640776,)
66,(328292128.4353589,)
77,(313302042.31965446,)
92,(252935897.5727841,)
93,(206152932.06492472,)
96,(181635677.37465495,)
122,(132351617.19357352,)
123,(104532733.26662451,)
150,(102548068.41051096,)
151,(86658207.7099195,)
152,(65823678.585572675,)
153,(55761227.03815508,)
156,(54043447.0301017,)
177,(53295421.69203253,)
181,(34447167.83788476,)
182,(32695108.74948691,)
183,(25845099.883744664,)
211,(15159523.480436036,)
214,(14066480.983691312,)
220,(10938943.510043154,)
241,(10150226.473211031,)
244,(9595468.980469113,)
245,(8929966.057829484,)
247,(8499173.257050142,)
253,(6074179.194588817,)
272,(5220501.142117557,)
275,(4951494.025392014,)
285,(4309671.46685143,)
289,(3335307.231210942,)
354,(2983259.541975704,)
381,(2968180.048810253,)
392,(2845411.122380453,)
405,(2499016.896193846,)
413,(2343124.7442887034,)
414,(2203829.2982016657,)
514,(1994873.747789308,)
668,(1829886.0107500975,)
700,(1601817.4313077147,)
707,(1495124.592227614,)
861,(1489059.1175023527,)
877,(1465521.7617776892,)
886,(1465166.1090438368,)
925,(1266301.9743481542,)
929,(1178954.4977848239,)
943,(1041598.779752994,)
1010,(1025161.525894993,)
1031,(978824.8873915673,)
1058,(846945.5061586025,)
1282,(645758.4796136292,)
1305,(623923.3225505453,)
1408,(596879.7237224336,)
1503,(590324.5122023805,)
1614,(535211.9178208752,)
1888,(467735.99150145426,)
2197,(449293.5717242941,)
2782,(401232.35642535187,)
2867,(385500.8022950821,)
2902,(343436.770022048,)
2907,(298254.44881266827,)
3039,(247750.98811493276,)
3243,(240676.56587241526,)
4035,(195789.5441361916,)
4823,(179069.97603899153,)
5027,(153164.72131026938,)
5586,(126249.49117071186,)
12880,(121058.64921483409,)
13178,(119843.25923934439,)
