Evaluations,Fitness
1,21053939255
4,777525739208081
6,12313828759
36,193811920185
66,05273128889
72,3579799078250
102,280509190005
132,22783337205513823
162,2077772212777903
312,207935720009
516,20225879838718
546,19733121878092
576,1957593593922
646,159920981787188
690,10787090037035
720,80970592
810,8020505200817
900,75300735202032
1048,15858705928
1178,38505959088089
1255,2579305050739
1276,00393077778
1325,522902799323918
1383,515789285215122
1428,5151982812133
1440,509738237307590
1511,50198815171305
1566,91587901780882
1578,7888751809891
1580,573830285279
1624,1901799837
1653,191303290989
1682,1512137353097
1690,005953515198
1701,38771328712139
1713,352595182580785
1734,39389372992521
1743,3387815518
1775,32882310538
1782,3193781329599
1805,31701008585382
1810,3150308251289
1820,3075528338728
1822,30305193888
1837,30119328871282312
1847,299253535299882
1855,27837773092
1867,270090382379
1900,2512995991702283
1931,250572552335582
1951,2895130373208
1967,2101210531059587
1976,2388798579037
1981,2277912120539
1984,21150123228
2032,210515372532588
2046,2092552131153
2062,20387221705172
2070,1955585012101
2112,193798979801093
2130,188158872999
2156,1778585885519877
2237,172855172532183
2380,170252121979977
2515,181703031393
2531,1793032303233
2533,17718825215805
2591,15881339599397
2765,10807351209219
2799,1593577198005
2856,1580588985277
2949,1572205202203
3062,153793335783
3153,19379301959
3357,1883802387838
3396,15830255892222
3622,13883215919119
3876,1251507829
3916,1235829153353
3934,11210789058
4082,139200521730782
4282,139159585780
4410,138529337977057
4456,1375290520032
4477,13035027799057
4489,1325322858029
4570,1299321188773
4594,12858927707299
4807,1213330595218
4931,12557830100982
4943,1253150835211987
4977,129208373080579
5003,12225552080023
5063,1219973191799
5084,120503938957
5356,1205819952925
5383,115055122922875
5528,11375591175
5588,112931535020231
5670,111992255999
5786,109557759219817
6042,1078887197258
6045,1057919505970858
6134,103951915732022
6194,103180515810192
6462,103088507213958
6698,9917187138872
6753,978798810179
6818,978710355915
7021,977095387589
7050,958179873781
7085,95192121797817
7197,93582583108882
7527,92532313115
7672,917823778777572
7836,8915891952718
7911,889385923778
7936,8837735592711
8156,872921055235
8220,85988909538897
8320,8555215789938
8324,85115759111315
8719,897151705399
8860,81201930797981
9935,8033087389018
10086,790717351270111
10251,7875820225522
10264,757281258718
10758,77293250359
10891,7313978950531
10951,72033973501
11102,7131938325799
11192,702750331295
11312,927790332179
11639,58795217313
11921,51059752837925
11950,50981819809
12209,28951833329811
12252,25273928795505
12334,59589858911058
13059,5713730835882927
13314,5705728579
13536,5383297581255
13578,523123323810591
13812,519312970979103
13923,50379590117019
14028,85525838229
14501,71888292392
14652,517127221811
14978,188383973335
