Evaluations,Fitness
1,(2278980.0954723936,)
8,(1341507.3964190665,)
11,(1031461.54925272,)
21,(998836.9807430316,)
41,(964869.0074553196,)
71,(905317.3855944361,)
101,(852806.6836700697,)
131,(807336.9016822202,)
141,(784161.376372833,)
161,(764058.0683163988,)
171,(719133.0239083013,)
191,(689495.2790467644,)
201,(666749.9057417306,)
221,(643476.4770763391,)
231,(627012.0218731209,)
252,(581923.2583288188,)
281,(540287.6765801989,)
282,(485617.4891968754,)
312,(423261.59941855853,)
342,(394855.5889938682,)
374,(350703.65921132587,)
402,(338152.5141532593,)
428,(306499.7288051887,)
458,(281621.0598088026,)
462,(280478.6111086869,)
488,(269038.8113147908,)
492,(247625.58680742772,)
522,(238860.23303986102,)
554,(225758.1379557106,)
570,(219195.20831403017,)
576,(214319.51432645606,)
582,(198660.41108860262,)
600,(177746.16714345364,)
630,(174769.1562865291,)
633,(168246.998515854,)
636,(165762.22129513114,)
663,(138253.42992399918,)
693,(114449.56402398158,)
723,(96835.40081580124,)
753,(85410.94029945815,)
783,(80176.18247495228,)
811,(72461.79878177028,)
841,(69306.18753571814,)
883,(63407.70421113291,)
905,(62697.506725615094,)
915,(47786.19407891504,)
975,(44950.19975624445,)
1014,(42780.81029179498,)
1015,(37900.66832006632,)
1045,(32747.83654196707,)
1109,(30883.60509690344,)
1163,(27411.16445468025,)
1255,(26389.067068270928,)
1285,(25673.589616021105,)
1402,(24734.675939888933,)
1458,(24689.69258632182,)
1485,(23963.601554566198,)
1492,(23029.816485329706,)
1506,(22468.74672673187,)
1531,(20413.793001182847,)
1580,(20368.779442621268,)
1583,(20294.90056487437,)
1590,(19636.872515707993,)
1656,(19466.265364885643,)
1711,(19179.119255574697,)
1733,(18209.58828167636,)
1743,(17790.65957503946,)
1785,(17090.902076847695,)
1806,(16904.48483574571,)
1858,(16474.98902890384,)
1866,(16171.09767656126,)
1888,(15857.517520647696,)
2029,(15205.955513499674,)
2045,(14493.325509060129,)
2105,(14411.323714066913,)
2140,(14265.431728623398,)
2168,(14153.26848728607,)
2171,(13002.43208051314,)
2288,(12442.139132448481,)
2329,(12246.288845251354,)
2359,(11871.906315099302,)
2372,(11271.227609079755,)
2400,(11212.120428357286,)
2403,(10859.871286843372,)
2475,(10413.866372103572,)
2564,(10400.21968581435,)
2596,(9947.885003837555,)
2785,(9870.39241587801,)
2797,(9810.893849153745,)
2810,(9739.47080785439,)
2863,(9639.403240085081,)
2881,(9633.425085569936,)
2890,(9593.37325988712,)
2929,(9288.190678366207,)
2941,(9276.353336268001,)
2989,(9094.963906691035,)
3193,(8592.368386845867,)
3293,(8418.321373653047,)
3344,(8385.62225099566,)
3459,(7759.15762837248,)
3645,(7705.764394282275,)
3832,(7673.286920668412,)
3875,(7561.5246638151875,)
3922,(7531.600813884266,)
4060,(7488.8604806263775,)
4095,(7441.662865370678,)
4197,(7322.927960883184,)
4361,(7320.659007993046,)
4470,(7110.211097917603,)
4799,(7055.155359472084,)
4817,(6937.3495272512155,)
4827,(6915.037744651607,)
4877,(6811.082465776228,)
4927,(6520.1891208646175,)
5628,(6436.039171558178,)
5679,(6337.205257041857,)
5688,(6334.306987159644,)
5762,(6255.510188658094,)
5973,(6196.649075295249,)
6017,(5828.9316566938305,)
6254,(5629.036688063284,)
6314,(5404.727720709144,)
6532,(5317.893612532272,)
6883,(5145.226827205681,)
6915,(5105.039816439263,)
6978,(4955.476045763609,)
6992,(4834.424305196789,)
7435,(4748.461813087704,)
7497,(4723.495234667096,)
7557,(4716.102121980967,)
7608,(4700.9300594547485,)
7649,(4696.569291386126,)
7668,(4665.903414888334,)
7702,(4497.757244072314,)
7949,(4496.943262077951,)
7972,(4268.056043603594,)
8111,(4222.417633999272,)
8258,(3896.7836567124473,)
9158,(3889.3282442422164,)
9347,(3887.3196847837,)
9361,(3837.924117563007,)
9410,(3512.0809911377005,)
10219,(3447.334646715421,)
10487,(3365.1913168559977,)
10730,(3195.379539912905,)
11083,(3133.4957231601197,)
11482,(2941.2399877639314,)
11724,(2882.571726189954,)
11996,(2835.5013583560253,)
12996,(2786.0276949274935,)
13126,(2778.7539257684016,)
13194,(2767.9960316477436,)
13602,(2597.9280961606255,)
14685,(2549.327809656621,)
14942,(2460.2129101750043,)
