Evaluations,Fitness
1,359750111730
2,28835915519
6,2829879032220853
21,20081228197
22,20917703920533
112,2093020799300281
142,2091802572813
172,209071380999182
202,2089790511733
232,208891003807379
262,208819819875855
292,2087093905218
322,208717750011503
352,2088118983772
382,208018355217
412,2085175152205
446,20855190333
472,20807551831583
502,2050521885083
532,2032901817975
562,201559357027328
592,1998580952953
622,19813822923
652,195077255971
682,198785385871215
712,19327591008039
742,19199851228237
772,190150358025523
802,188273150595327
832,18713107057575
862,1851275589127
892,18218057059822
922,1828013835119978
952,1811128133205
982,180077552759
1012,178710790095739
1042,1770039087823
1072,171155717892
1102,178592903188153
1132,17328588979911
1162,17225300915
1192,1712881812158
1222,170095880721859
1252,189713222108
1282,1787357182917
1312,18022103397
1342,1575752837177
1372,173935282399352
1402,1377751219
1432,12782703383202
1462,11822703717
1492,10932317783822
1522,100973922973
1552,15918819020739
1582,1583559808382825
1612,1575503381035052
1642,157712580831073
1672,15018702237
1702,1552927959220870
1732,15593137819
1762,15392059700773
1792,153273737999527
1822,15253119183
1852,152015818225
1882,15199927722977
1912,15095500091582
1942,15015857501188
1972,19957312137901
2002,199271295
2032,19007201711235
2062,1853535897783
2092,18272972981571
2122,179189830513
2152,1759189089129
2182,17290598310
2212,17012700813202
2242,178509259310
2272,15731397133
2276,12712150509137
2306,15778375999077
2336,1531102578308
2366,18710721113183
2376,15213398125
2396,1510133595
2406,1357307727
2436,1259819197328
2466,11757203927
2496,107802558995275
2526,13991178571282
2556,1390703152957281
2586,13825585953279
2616,13783753599287
2646,13707905225288
2676,13597350891292
2706,1352799537295
2736,135889819333
2760,135529988
2766,13298915371
2790,133110972588
2820,13270552507075
2850,1318239990287573
2880,130983808272
2910,1301398885892878
2940,12933833333017
2970,12853778111005
3000,12781222919183
3030,1270957972722
3060,1202112753585
3090,12573555725352
3111,125587329579327
3120,125090020315307
3141,127333022101
3150,128380913
3171,12388233213587
3201,12305818112238
3231,1222083132390108
3261,12190278829072
3270,1213528385803
3291,1209881385028
3300,1205828832258
3321,120379807525
3330,1197533519
3351,1191075058821
3360,118931879572713
3381,118897791875323
3390,118115331258771
3411,1181039085593
3420,11737239939892
3441,117331222057027
3450,113115218009
3471,1150525330335
3480,115911117857535
3491,1157707020987
3510,115215205093901
3521,1190092590995
3540,1151305155571
3551,1103588731352
3570,1138913811223027
3581,113190327539937
3611,11237117183522
3641,11157832898505983
3671,110811871327
3701,11007177552585
3731,109358007810323
3761,1087072785898
3791,1080095505893018
3821,107375001220537
3851,1077179033
3881,101878095021
3911,105292190081231
3941,10510001320237923
3971,105971879185
4001,101208539209
4012,1008229255382207
4031,1039929371222097
4042,1033078151911
4072,1025597128887997
4102,101837991822132
4132,101125932391718
4162,1007355209057
4192,9983088053382
4222,992150219287
4252,982507892982
4282,9800821838253
4312,97523583839051
4342,970122538819755
4372,95280331935983
4402,9097918083919
4432,9537901222938
4462,9523231057
4492,985317277073
4522,95003329521878
4552,91738920003
4582,93873710318512
4612,93599920097229
4642,93352893931
4672,9313105908238
4702,929372115529
4721,928597559132
4732,927828959155
4751,9257892101159
4781,92323371118099
4811,9209272723713
4841,918912082228283
4871,917117321523
4901,9153170892187
4931,9138197811331
4961,91339255120138
4991,9123281855515
5021,912190905922
5051,9119809382511
5111,91085510597109
5141,90982202129593
5171,908921571085
5201,908213175530799
5231,90735570789
5260,9055508789589
5290,902553371713
5320,899791159550755
5350,8972513150955
5380,89937281051217
5410,892851518057
5440,890995821959
5470,8893037138952
5500,8879023985007
5518,88709097193
5530,88577377201128
5548,883550507
5578,880059203222231
5608,8790755539
5621,87878993787
5638,873992333011
5651,8701512800302
5681,807170315
5711,828559021311
5741,85935578020097
5771,85113577120
5801,853125529221873
5831,850392513053381
5861,879198959052
5891,859189598
5921,837237703105
5951,820109189785
5981,8055232733
6011,839395972209
6041,8380158130099
6071,8377085822817
6101,83727011837153
6131,8370875825308
6251,83708037901075
6280,83038352378235
6289,8352822102550
6310,837035333838
6319,83292798925853
6349,82987838899711
6379,8270730325
6409,8251113130558
6439,8229797971397
6469,82101225759
6491,82098397289389
6499,819210005935131
6529,81757182875073
6559,81098117002817
6577,8105252750103
6589,81788837851273
6607,813198375919775
6635,8119229073
6637,810580175071
6649,8102138020029823
6665,8082938218898
6679,8095392172597
6695,80557255972789
6709,803837511255
6725,802988298332917
6739,80093950275
6769,79819377129195
6799,7951895701859
6829,79320505599351
6859,790980800571
6889,78889752017313
6902,788309350551
6919,789987237183785
6932,7831751702591
6943,7858905511377
6949,785270091352088
