Evaluations,Fitness
1,2113364.8260146435
2,1399850.110582441
11,1233917.9939450177
12,1157911.2139279624
20,855464.4888383915
72,805886.5998106187
102,685253.014659298
132,598368.2197499629
162,545232.2150826132
192,525845.0006572485
252,507228.266211802
402,491923.5566067356
462,480186.6952014434
492,478206.6686588493
612,449582.12874729023
642,421417.3675643476
672,403929.23987665103
702,397117.7456842004
762,390839.24929420097
775,385113.4435293361
792,377837.8861977787
805,351394.39604537294
835,335053.0971673829
912,325108.1036073666
942,314234.95215957676
972,312852.45525857614
1032,305069.70359667426
1045,294708.1274225709
1051,292842.4724474736
1063,285531.3320270562
1075,275151.6264610705
1080,271280.71035235876
1081,271212.89705444116
1093,269667.6633241993
1105,257774.34350815907
1135,250530.9058923273
1190,241843.98626835685
1209,241300.6314266462
1212,240533.7177705957
1220,229418.86812759208
1245,228401.0482361692
1250,221773.53847112812
1275,221346.02956036918
1280,218907.99729896476
1317,218315.12626574334
1349,211368.4961797399
1375,211126.32137694923
1379,204284.59736339914
1397,199834.34672494035
1448,199120.20051197603
1488,193175.6533852226
1541,191122.34559297413
1566,189710.8486047615
1575,188511.4360174626
1583,186330.94441365474
1596,183616.46967370162
1619,182789.64121525147
1630,180614.4492508492
1649,177077.7827911697
1662,173845.61067451342
1685,173214.33378097764
1696,167576.72647205135
1700,167167.97523848206
1715,166861.01392391563
1726,161627.66469649877
1742,158663.57736300514
1763,157196.97879990048
1765,156393.14141035336
1772,155794.6632370208
1776,153914.62047895402
1781,151284.74945771028
1793,149281.76824234345
1807,144563.7178400964
1823,144530.52413023362
1832,143704.42211566458
1837,141514.540687038
1858,140583.02171257592
1867,139953.58619981672
1871,138385.30655236653
1893,137686.94228391763
1908,137274.88829617843
1928,134140.4483416
1933,132232.06465710662
1971,130278.66536264868
1986,127849.86448211981
2001,125403.41835683936
2016,125181.53600114807
2031,121939.14488100307
2061,119885.84493513976
2082,119250.03937034168
2091,119243.5185192495
2112,117201.98201996899
2150,117158.2257217436
2151,115583.62550255634
2167,113540.01879834873
2205,112070.2945213242
2222,110486.20666014767
2252,109989.0418529628
2258,108755.45351683197
2282,108343.6349734718
2288,105277.06913306772
2315,105055.33371586815
2321,102674.2668147706
2345,99568.59556919966
2382,99088.73893356688
2386,98888.7381917857
2390,98101.75841030803
2402,96063.60322546591
2417,94975.00188889475
2437,93362.02742649283
2447,92551.87603346817
2474,92413.01636834296
2489,88908.0992774908
2526,88574.26848048024
2536,87943.45014021632
2570,87718.91465430165
2578,86775.42361000886
2582,86273.93710442554
2600,86251.55981171389
2622,85914.90029601613
2645,84167.28046879546
2697,82570.86528558824
2717,81414.7527024363
2727,81365.47273139114
2778,80827.44614224661
2808,80686.05781955921
2844,79869.89770410539
2852,79607.01814983618
2857,78798.5980901824
2867,78273.76614162685
2935,77498.27339559115
2956,76857.06407551051
2987,76595.41819014678
3015,76507.33565860773
3046,75867.62325440318
3052,75829.88920414216
3067,75592.02375002379
3073,75564.80745548895
3074,75077.75026282774
3089,74727.20223972494
3096,74548.16700770741
3099,71282.00720667618
3156,71151.25370116551
3158,70196.04689636413
3286,69437.37458692558
3334,69430.46089275497
3380,68629.2835204525
3385,68409.03699467453
3390,68054.36490783845
3455,66630.98232101185
3485,65130.153957524104
3511,64649.08525059165
3514,64601.37572759603
3520,62880.43886054561
3550,61842.25501429118
3574,60936.01577131172
3582,60807.28679902046
3599,59939.67128945642
3600,59879.92975522099
3612,59692.1417838986
3632,59266.56275833751
3635,58895.84675078004
3657,58713.2308364359
3665,57761.5606022368
3737,57226.12094331564
3772,56528.40695284569
3791,55851.456730577265
3798,55370.06637578004
3825,55254.355819726814
3845,54480.52936890006
3871,52833.725258441176
3943,52825.93001886217
3954,52643.20335359212
3966,52468.644111336675
3972,51875.06346425697
3976,51178.81006701397
4005,50609.25744075603
4026,49660.7090909346
4082,49405.14425019753
4151,49216.732420439344
4164,48690.389951352576
4218,48684.11660655903
4226,48097.43624114494
4241,47738.803133982765
4281,46593.58275265437
4314,46285.006042262234
4344,46257.64014432196
4383,45772.07664464898
4410,45068.71838420277
4454,44926.08316004495
4465,44858.27735462467
4474,44415.74183754274
4483,43629.498819616194
4514,42779.481508556375
4533,42566.446277414296
4564,42364.8004999813
4583,42339.25669100845
4596,41721.24951333199
4660,40971.19066803906
4716,40916.96475082433
4745,39881.49048978279
4805,39579.015694948735
4867,38821.02598043781
4926,38539.12094081861
