Evaluations,Fitness
1,383810228882
2,322100793020
3,3023503772373
6,2830755799507
17,291191220308
52,2978872037591
77,2233337737832
82,2321203019777
107,23553752389972
112,2270379078828888
142,218887889952152
147,21851512030837
172,2111135800929
177,210520232833
202,203275731002233
207,2032933197
232,199710173957737
237,197393082910592
262,19593920273075
267,19237007018315
297,18835589189003358
306,1857592951312
327,18535059512192
336,179219077120821
366,173818137709
390,172191553783392
396,155502770779
416,191503327
420,153009020392055
426,15850157037953
456,151530815599733
486,150180127518598
516,103503118313235
536,1393378132179
546,13830977177
565,13759755219908
566,13000093822018
595,12811218312870
625,122195101398873
655,11780775332333197
685,1115002520877
715,1118877231
728,11138830785338
745,10982397790057099
752,10830338838
758,1080082983513
780,1078188597198
782,105515550319
810,10515813232
812,10251019127332
818,10392235229152
840,103998708791908
842,103133832919799
843,99855013908879
873,912510333913
903,935712911592202
933,92020221252
963,91832715510383
990,9037050757279
993,88951987528713
1009,88009579252503
1039,8933252017039
1069,828758909207
1099,81210813202713
1121,81123997719783
1129,805752118970572
1133,79788139173781
1159,7952259720778
1163,7791253212375
1193,7990959389859
1225,797222857528
1230,790519221373
1231,7097930998815
1261,7579957281151
1280,7792539718217
1293,7392752539102
1299,738520810585553
1323,7339039290523
1327,7309872595898
1329,72978517505831
1334,7293080313951
1345,723150918857
1351,7180518175927
1356,71723331127
1363,70589709390807
1364,70281818305
1367,701083331
1381,928970113
1393,79159328393
1397,7891272715729
1411,7385053707
1413,73159820302085
1416,70837311802177
1418,539095982512
1427,329815518895
1441,20851255392
1443,50922307
1473,2732002707
1475,222298799955
1476,21233783057
1503,2382739872571
1505,00588539235
1532,591519219292098
1534,5925221750922
1535,583219380959137
1562,57181727233572
1564,570010729373277
1592,5513302052
1594,5573911120
1624,5717718798733
1629,57258835532
1630,5397120289572
1646,539883820028781
1654,537578905175071
1658,52719035285559
1659,52301232815
1682,5230900021357
1684,520101173333
1688,5098805052851
1692,50958128203552
1714,979592371181107
1718,9205970298753
1722,920357957758212
1744,790707859782
1748,7533839917898
1771,933230321003
1774,2035087508318
1782,012793258113
1789,59037713835
1801,121791181558
1803,399917992015
1812,331735192935
1831,2103359773827
1833,17552173085301
1851,150231910839
1861,075999030338
1863,3997021885132
1877,399531585219822
1881,3951892303059
1891,38791851571555
1892,387338219227
1898,383992011315
1909,383211550002
1910,3831225591925
1911,38200270908005
1919,3729902209139877
1921,357009170990
1949,3595307270733
1951,33175299120189
1981,313978039773333
2011,3033831978338
2033,29773287075985
2041,29393095132
2042,289721852125305
2045,2879805570
2059,28729282301721
2068,28310059302807
2072,2733009759588287
2075,275099332022195
2087,2715812531077
2098,270589780101395
2102,2117392537551
2117,257293037793003
2130,2509725085
2132,29102193151
2134,278539738509297
2135,29327532513292
2142,22711398310932
2162,237102805200888
2164,23307929328808
2172,2270183088
2192,222390525358
2194,22237380072385
2200,22125802337251
2202,2179520725
2204,215331750837055
2222,210083855237828
2230,207590701011
2233,2058082579003
2234,2008389318995
2253,197837220208238
2258,19737097338575
2259,1915380780822
2260,19201221187
2283,19031091715087
2285,18859999237908
2288,1831712937393
2289,1815792907887729
2311,1779089703573
2315,17389095139087
2330,1903950531882
2341,130805801807
2365,1231399332921
2371,15951792597581
2375,159230239985958
2376,1533551215295
2404,15213170390379
2406,172871891055
2436,17089398893353
2441,19112808821
2448,1805120171590
2458,13728989037771
2464,1703270955
2485,1209712300507
2494,11903375020985
2496,1390553702339829
2515,137022137318713
2526,1311750595833
2529,133952278758
2530,13217958230
2551,1313390881782
2560,12953957712352
2563,1201558992
2590,121211117235353
2594,1185130898127
2612,11555735385
2641,109220012390
2647,1082721282375535
2672,1073258505772728
2677,107915222352
2693,1077717832105
2699,103050130592725
2704,10287259333305
2720,100285277501182
2733,99222551323988
2741,985577238331222
2742,980970720920732
2763,993855522
2771,931528953385378
2794,92877180328778
2797,9077327712588
2810,8933209287025
2812,853532255901
2827,817979302733297
2842,80279910537885
2854,7989087372
2857,73778105910355
2882,7050350923
2912,7135115899332
2966,2272322927
2969,3388555227
2972,25291202723
2973,1825507570853
2996,01590700595
3002,59208712735
3003,5588252011
3061,5579537820587793
3063,52303132553378
3091,51937758812355
3096,510320520295
3112,900387382902
3126,873301080093
3127,8721581275085
3134,823717237737
3146,708057722579
3157,5799313879233
3183,788758055923
3190,2278593023171
3213,21759551718958
3220,3880312031721082
3241,38737813807207
3246,381120988228
3253,37970087937038
3264,370299071097
3271,3535733795783
3278,33989072722573
3311,338721238590
3320,339297553538
3341,315280811130
3404,302290139107
3420,300280512302315
3425,295391030097
3433,28021293017725
3455,2711102203027
3464,219558037352
3496,259727195809595
3503,259091578937772
3511,2537722577
3535,238578357030
3541,2382902875057885
3558,2293019209931153
3583,22503789351
3590,219331521770138
3595,208027833189757
3620,20280219907018
3631,19795521971
3655,1972050093037
3697,18775278390375
3725,183008119172
3746,18077107575029
3755,177559203857
3757,17351981981057
3815,15179895000
3846,158291388175552
3883,19382539258907
3925,135592308188212
3946,13505197520983
3985,1219932271029
4000,1212023238913
4007,11798020782501
4045,11219252537
4055,1103975555375
4064,11511215303890
4069,113338201125579
4082,11072531972708
4087,108309381077385
4100,1057187350323
4111,101527552385852
4113,955883815982
4142,951900910591
4183,910352953112879
4205,851298305353509
4248,8115778753022175
4272,72798789520301
4292,7073821157122371
4321,9220221558072
4353,5893219992128
4376,51299301800908
4394,23959825902
4425,5817983897002
4482,57528220250
4519,58302890953852
4560,508881878891
4579,933719395590
4640,7381037152223
4656,73725852093053
4659,907203780799
4663,0121970522903
4821,1982321299275
4859,198121588
4867,13701593852938
4874,01175310079
4883,39797275572107
4885,380503015787219
4896,392191591139
4927,3235559803517
5082,332922930315
5113,327998173125715
5162,2798377380327
5326,239357783257191
5668,22719383921173
6263,22315939089103
6542,219817290372302
6577,213052009102212
6580,200590891133703
6826,200090715733877
6941,1922189759952
7143,12387838731915
