Evaluations,Fitness
1,(np.float64(8193496.214406609),)
2,(np.float64(6705102.263725204),)
9,(np.float64(6631425.853702503),)
32,(np.float64(6335727.644833396),)
62,(np.float64(5995700.6367707765),)
92,(np.float64(5685021.239537345),)
122,(np.float64(5403689.453133097),)
152,(np.float64(5151705.277558039),)
182,(np.float64(4929068.712812169),)
212,(np.float64(4735779.7588954875),)
217,(np.float64(4682333.334768408),)
242,(np.float64(4554974.7671948355),)
247,(np.float64(4456689.8631327),)
272,(np.float64(4356808.544328455),)
277,(np.float64(4261369.862736556),)
302,(np.float64(4170225.3316715886),)
307,(np.float64(4096373.33357998),)
332,(np.float64(3995597.4880692367),)
337,(np.float64(3961700.27566297),)
362,(np.float64(3837687.4162786324),)
392,(np.float64(3709503.1544612055),)
422,(np.float64(3611044.702616953),)
446,(np.float64(3551221.540934229),)
452,(np.float64(3433689.2749786833),)
457,(np.float64(3432228.495899818),)
476,(np.float64(3403437.2316986993),)
482,(np.float64(3314844.6389603294),)
487,(np.float64(3243479.556449112),)
517,(np.float64(3083864.5292100897),)
547,(np.float64(2953383.414182756),)
577,(np.float64(2852036.211367109),)
607,(np.float64(2779822.920763148),)
637,(np.float64(2736743.542370873),)
667,(np.float64(2722798.076190285),)
686,(np.float64(2683218.0534969456),)
697,(np.float64(2682860.730515383),)
708,(np.float64(2652653.3613789445),)
716,(np.float64(2617114.3311773036),)
738,(np.float64(2599190.57513879),)
746,(np.float64(2581826.5253200447),)
768,(np.float64(2563142.919016713),)
783,(np.float64(2460829.8108929344),)
813,(np.float64(2361130.202522635),)
843,(np.float64(2285093.425146621),)
873,(np.float64(2232719.478764891),)
903,(np.float64(2204008.363377445),)
933,(np.float64(2198960.078984285),)
993,(np.float64(2190890.3993264837),)
1023,(np.float64(2182028.808825267),)
1083,(np.float64(2176067.530096157),)
1113,(np.float64(2173938.5390429795),)
1148,(np.float64(2155714.495607968),)
1178,(np.float64(2124643.217681035),)
1208,(np.float64(2115088.808784463),)
1217,(np.float64(2095004.8840801476),)
1238,(np.float64(2066229.6863562257),)
1268,(np.float64(2036752.9088473518),)
1275,(np.float64(2033106.0931544262),)
1294,(np.float64(2004222.6230426976),)
1298,(np.float64(1968230.6281261533),)
1323,(np.float64(1960442.241888353),)
1324,(np.float64(1958708.4621604437),)
1328,(np.float64(1916426.4161501115),)
