Evaluations,Fitness
1,6483563.836934572
2,4459166.435882746
32,4446956.605666722
40,4242253.391102254
62,4108290.2355875475
70,4043787.0784790567
92,3800653.3446019967
122,3523183.2908097263
152,3275880.074210733
182,3058743.694805021
212,2871774.152592589
242,2714971.447573435
259,2701463.0417812024
272,2491035.011617097
289,2457554.893274749
302,2289932.194408379
319,2245506.7447682973
332,2113674.9969971715
349,2065318.5962618452
362,1946853.2071215075
379,1916990.4477553933
392,1802060.0884278512
406,1785852.9880840334
422,1624100.176775854
452,1472981.787639641
469,1458186.334004792
482,1419529.178870756
483,1340431.3302144464
499,1296210.9006113205
513,1193838.4130437188
529,1164639.867301023
543,1060326.0685015144
573,955471.573192568
603,879274.9271168802
616,855485.8727565056
633,803511.7191924019
646,775299.5207833161
663,741776.0365064316
666,740410.4166931388
676,722255.6322764126
681,720133.1809319421
693,637734.1077037324
706,630686.2237397021
723,556181.0436377756
728,553136.9502089802
753,498499.5928299824
758,487054.5971456498
783,448877.50225106074
788,446156.1299541864
794,442247.3640566575
805,394763.67112853605
814,387369.4924397283
818,384081.0459908915
824,359474.8477937491
835,329504.56553961145
844,328929.9479179354
851,323679.60267700267
854,301272.0734235948
865,291351.3738363304
874,272276.20169067284
884,259107.5403840561
897,254014.2001054647
904,236518.28665370736
924,220152.39440907436
941,209305.83654537617
954,202613.9865344477
978,193547.7681293272
989,189778.48973627618
1006,188517.36796759648
1008,171370.52690286963
1036,167718.11524063573
1044,165305.0899889394
1051,159974.29635846106
1052,159746.42437206372
1061,157439.97083011776
1065,156981.80183331805
1070,152013.40255292464
1084,144754.23552449365
1100,143778.68907499028
1114,142271.5733963999
1118,139308.12174251882
1129,138068.44593369542
1148,132659.9130177553
1181,130948.85037963907
1203,126552.19686734573
1209,125802.71314381389
1214,123177.83346512978
1218,113064.95180541066
1248,104508.22250317998
1299,103016.72573888538
1323,102762.10931792377
1334,94316.85534851928
1353,90715.762447919
1369,88820.79391873984
1370,88064.79034444687
1381,87206.68422428174
1383,80083.9900953642
1385,79309.20202584036
1414,74588.69372662327
1446,72345.81626095012
1462,71135.79568796158
1476,68031.26547821399
1521,66807.1054960398
1535,64312.17808927568
1547,63364.144122879
1565,61290.17018087283
1572,58751.96996168299
1593,57196.798787043066
1631,56998.31785036582
1636,49191.9377495496
1682,48873.05086737872
1695,47769.656147361544
1696,47426.5973196898
1735,46715.10934849154
1742,41168.88670066739
1796,40501.17294671556
1803,40210.84687038153
1809,35908.02530283644
1836,35397.57730383085
1849,33507.96690768557
1866,31560.28583951051
1891,31496.185612072168
1892,29865.5019358317
1946,27253.891441541815
1978,26866.9069403114
2010,26547.042213397115
2042,24523.085853804467
2086,22776.861900797405
2133,21925.446295977035
2256,21334.875649545014
2384,19097.60497985415
2500,18998.321656331947
2536,18224.546827628976
2558,18038.092515329754
2561,16298.598437826762
2632,15906.61946517445
2642,14955.87227486679
2650,14925.196118308997
2702,13493.428129014688
2985,12857.367474598632
3008,12069.657506369955
3112,11784.217377690426
3237,10516.456212709092
3279,9291.77584039026
3817,8703.673274858176
3835,8321.932007964218
4140,7623.259319065399
4280,7104.898450698339
4623,6890.600872766589
4785,6887.475091679687
5656,6732.241259863029
6791,6270.069869840341
7086,6196.902149436414
7177,6028.307358947006
7462,5836.986561727982
9464,5671.253148398967
10666,5535.66055998427
10904,5506.637087532648
10906,4631.999698810362
