Evaluations,Fitness
1,1571.901190
10,1466.792079
24,1344.486427
476,1313.111971
796,1293.833012
864,1204.083097
924,1168.091747
1036,1145.036903
1164,1141.989991
1216,1024.977550
1396,994.603994
1576,964.998858
1726,960.134417
1816,951.364576
1822,941.177683
2572,940.839078
2827,936.296902
2872,856.463693
3307,814.873519
3727,803.903665
3937,798.855711
3942,771.716998
4507,722.991283
4867,713.120283
4987,691.310634
5107,689.606335
5257,687.272263
5377,677.347221
5407,671.702071
5527,670.669045
5557,669.513294
5617,663.386961
5647,658.670518
5677,655.777762
5707,653.953124
5737,652.774019
5767,651.996735
5797,651.476200
5827,651.123372
5857,650.882050
5887,650.715897
5917,650.600949
5947,650.521150
5977,650.465617
6007,650.426904
6037,650.399883
6067,650.381007
6097,650.367813
6127,650.358586
6157,650.352131
6187,650.347615
6190,642.284453
6427,641.765220
6517,636.014647
6667,628.153822
6757,626.666237
6877,619.243419
6937,613.186152
7725,601.163734
7785,600.742480
7875,587.705246
8175,587.207727
8355,585.386061
8445,581.553218
8595,577.591646
8625,576.118243
8655,575.956482
8775,574.978542
8805,574.373791
8835,574.127908
8865,574.042739
8895,574.025724
8955,573.900903
8985,573.842292
9015,573.818433
9045,573.810145
9075,573.808466
9135,573.651106
9165,573.542586
9195,573.467712
9225,573.415833
9255,573.379780
9285,573.354671
9315,573.337157
9345,573.324928
9375,573.316383
9405,573.310409
9435,573.306231
9465,573.303308
9495,573.301263
9525,573.299831
9555,573.298830
9585,573.298129
9615,573.297638
9641,566.914791
10151,535.877816
10541,535.232127
10571,511.763273
10781,509.137656
11051,507.903261
11111,506.895608
11201,506.235097
11321,506.057087
11357,503.186506
11441,492.097496
11501,490.130808
11681,484.750585
12131,475.662017
12281,472.489655
12401,472.485230
12431,472.290510
12551,472.033021
12641,471.755372
12671,471.577635
12761,471.312371
12851,471.254403
12881,470.876867
12911,470.639925
12941,470.487460
12971,470.387297
13001,470.320398
13031,470.275145
13061,470.244240
13091,470.222985
13121,470.208292
13151,470.198097
13181,470.191006
13190,468.551757
13250,467.662348
13400,467.233793
13520,462.150103
13610,456.563042
13640,454.732273
13700,451.269410
13880,450.170633
13910,448.437587
13940,447.600532
13970,447.198871
14000,447.008004
14030,446.918643
14060,446.877770
14090,446.859782
14120,446.852396
14150,446.849776
14180,446.849192
14270,446.834807
14300,446.811622
14330,446.795434
14360,446.784123
14390,446.776215
14420,446.770684
14450,446.766815
14480,446.764108
14510,446.762214
14540,446.760888
14570,446.759960
14600,446.759310
14630,446.758856
14660,446.758537
14690,446.758315
14720,446.758159
14750,446.758050
14780,446.757973
14810,446.757920
14840,446.757882
14861,438.080249
