Evaluations,Fitness
1,-2.566724
4,-2.886898
15,-3.597366
22,-3.660006
64,-3.740940
117,-3.773356
147,-3.795080
152,-3.803773
179,-3.823036
207,-3.829004
271,-3.836059
315,-3.847437
369,-3.852891
373,-3.860317
706,-3.861902
789,-3.862005
879,-3.862275
969,-3.862351
996,-3.862588
1130,-3.862599
1204,-3.862778
1834,-3.862781
1954,-3.862781
1959,-3.862781
1989,-3.862782
2079,-3.862782
2499,-3.862782
2559,-3.862782
2758,-3.862782
2891,-3.862782
2979,-3.862782
3069,-3.862782
3279,-3.862782
3608,-3.862782
3669,-3.862782
3731,-3.862782
3761,-3.862782
3791,-3.862782
3941,-3.862782
4001,-3.862782
4031,-3.862782
4061,-3.862782
4181,-3.862782
4211,-3.862782
4239,-3.862782
4241,-3.862782
4811,-3.862782
4991,-3.862782
5021,-3.862782
5111,-3.862782
5141,-3.862782
5171,-3.862782
5201,-3.862782
5261,-3.862782
5321,-3.862782
5351,-3.862782
5381,-3.862782
5411,-3.862782
5441,-3.862782
5471,-3.862782
5501,-3.862782
5531,-3.862782
5561,-3.862782
5591,-3.862782
5621,-3.862782
5630,-3.862782
5651,-3.862782
5681,-3.862782
5711,-3.862782
5801,-3.862782
5861,-3.862782
5921,-3.862782
6011,-3.862782
6106,-3.862782
6131,-3.862782
6161,-3.862782
6191,-3.862782
6221,-3.862782
6230,-3.862782
6286,-3.862782
6410,-3.862782
6551,-3.862782
6980,-3.862782
7100,-3.862782
7130,-3.862782
7190,-3.862782
7550,-3.862782
7681,-3.862782
7700,-3.862782
8101,-3.862782
8150,-3.862782
8270,-3.862782
10239,-3.862782
