Evaluations,Fitness
1,1140.140256
3,970.604770
10,936.494302
89,928.597361
179,885.796796
754,865.021086
1684,858.554799
3238,848.661396
5098,843.978459
5278,839.600328
5398,836.494480
5428,820.598258
6118,814.955437
6238,808.792356
6268,806.886671
6358,806.253802
6388,805.544295
6418,805.542021
6478,805.223801
6538,805.213786
6628,805.179536
6718,805.088283
7228,804.803459
7498,804.759642
7648,804.755524
7828,804.751943
7918,804.750812
7948,804.750048
7978,804.750008
8038,804.749757
8098,804.749286
8128,804.748882
8158,804.748601
8188,804.748404
8218,804.748266
8248,804.748170
8278,804.748103
8308,804.748056
8338,804.748023
8368,804.748000
8398,804.747984
8428,804.747972
8458,804.747964
8488,804.747959
8518,804.747955
8548,804.747952
8578,804.747950
8608,804.747949
8638,804.747948
8668,804.747947
8698,804.747947
8728,804.747947
8758,804.747946
8788,804.747946
8818,804.747946
8848,804.747946
8878,804.747946
8908,804.747946
8938,804.747946
8968,804.747946
8998,804.747946
9028,804.747946
9058,804.747946
9088,804.747946
9118,804.747946
9148,804.747946
9178,804.747946
9208,804.747946
9238,804.747946
9268,804.747946
9298,804.747946
9328,804.747946
9358,804.747946
9388,804.747946
9418,804.747946
9448,804.747946
9478,804.747946
9508,804.747946
9538,804.747946
9568,804.747946
9598,804.747946
9628,804.747946
9658,804.747946
9688,804.747946
9718,804.747946
9748,804.747946
9778,804.747946
9808,804.747946
9838,804.747946
9868,804.747946
9898,804.747946
9928,804.747946
9958,804.747946
9988,804.747946
