Evaluations,Fitness
1,1581.699089
2,1507.240310
3,1473.528171
8,1434.791230
18,1430.727496
19,1338.714505
25,1311.696418
50,1164.610866
495,1142.427270
611,1137.846234
631,1095.477092
691,1069.654843
783,1050.359157
793,1027.426486
1029,962.565952
1290,938.245287
1391,937.324872
1766,935.093837
2050,925.877509
2260,916.095267
2604,882.434124
2830,870.290519
2950,865.786692
3463,826.523698
4205,805.244197
6205,804.736740
6538,791.260460
6545,766.491815
6995,758.376004
7955,757.489014
8015,755.528614
8465,755.339658
8495,753.286416
8525,751.791618
8555,750.733796
8585,749.993742
8615,749.478033
8645,749.118916
8675,748.868709
8705,748.694227
8735,748.572445
8765,748.487382
8795,748.427931
8825,748.386363
8855,748.357289
8885,748.336949
8915,748.322717
8945,748.312757
8975,748.305786
9005,748.300908
9035,748.297493
9065,748.295103
9095,748.293430
9125,748.292259
9155,748.291439
9185,748.290865
9215,748.290464
9245,748.290183
9275,748.289986
9305,748.289848
9335,748.289752
9365,748.289684
9395,748.289637
9425,748.289604
9455,748.289581
9485,748.289564
9515,748.289553
9545,748.289545
9575,748.289540
9605,748.289536
9635,748.289533
9665,748.289531
9695,748.289530
9725,748.289529
9755,748.289528
9785,748.289528
9815,748.289527
9845,748.289527
9875,748.289527
9905,748.289527
9935,748.289527
9965,748.289527
9995,748.289527
10025,748.289527
10055,748.289527
10085,748.289527
10115,748.289527
10145,748.289527
10175,748.289527
10205,748.289527
10235,748.289527
10265,748.289527
10295,748.289527
10325,748.289527
10355,748.289527
10385,748.289527
10415,748.289527
10445,748.289527
10475,748.289527
10505,748.289527
10535,748.289527
10565,748.289527
10595,748.289527
10625,748.289527
10655,748.289527
10685,748.289527
10715,748.289527
10745,748.289527
10775,748.289527
10805,748.289527
10835,748.289527
10865,748.289527
10895,748.289527
10925,748.289527
10955,748.289527
10985,748.289527
11015,748.289527
11045,748.289527
11075,748.289527
11105,748.289527
13713,742.477618
13895,734.734471
14195,722.911625
14765,722.042919
