Evaluations,Fitness
1,10138158.556843
4,8433446.145339
6,8369748.703038
8,8361261.732389
20,8134704.292197
29,7572882.152267
41,7007542.248431
43,6486578.294581
46,6158493.586781
51,5785149.067046
54,4928642.023225
137,4798020.341992
160,4316412.107454
174,4259160.690667
268,4080812.676846
384,3702493.420713
420,3552589.438381
427,3522451.110351
444,3405214.217623
738,3367283.276480
991,3352006.828043
1201,3341922.764368
1274,3263584.278273
1284,3260400.927001
1387,3142496.331707
1474,3004903.609562
1756,2999392.358589
2143,2817435.776094
2768,2796717.232044
2803,2785650.435896
2822,2673583.037988
2912,2600755.238888
3122,2589274.223792
3212,2588610.276427
3328,2549945.787454
4068,2454559.476468
4082,2450271.434376
4592,2379108.288244
4652,2337665.598769
5372,2330147.379669
5621,2326673.183359
5824,2229541.393108
6574,2211903.114978
6844,2207923.149435
6904,2197532.591827
7174,2195661.980168
7234,2191899.151441
7324,2191511.685170
7537,2187600.923598
7539,2170720.041893
7719,2163199.785340
8109,2119851.937919
8637,2101579.887499
8949,2095973.706917
9309,2092591.984779
9489,2087845.084530
9549,2086138.981983
9628,2034269.343152
10288,2032913.405331
10558,2028870.328449
10648,2028700.534250
10798,2024939.753546
10918,2022204.230532
10977,2021974.721317
10978,2018316.338184
11038,2017949.830305
11308,2014032.418767
11338,2013439.300045
11458,2012195.198995
11515,2003986.084221
12505,1996899.046775
12745,1989849.617161
13915,1988439.140331
14125,1987719.010111
