Evaluations,Fitness
1,13038139.558993656
2,9676158.029795626
3,5617595.967755386
75,5453307.801765224
93,5081649.2088657
105,4974208.006802613
123,4667224.0287191775
135,4631437.478739689
144,4517121.502903094
153,4160887.926050263
174,4127452.62992824
183,3763063.8751428043
213,3510231.9572318494
243,3365954.0161485295
255,3325346.9886114183
285,3096704.8813287574
295,3027593.5175912767
315,2890000.1588459285
325,2768822.7064366266
345,2737470.5220656926
355,2610931.217308171
375,2563612.9391464726
377,2557563.4818325583
385,2527162.9214165793
405,2443795.2108985074
435,2428143.0482578957
437,2409075.1305804756
440,2406306.2825647886
441,2359710.075974298
468,2354528.5830542957
470,2296811.347295021
471,2225905.843727212
487,2215108.298971195
500,2199029.9189913766
501,2177246.7758526434
502,2152635.6696890243
516,2135144.8360417928
517,2076801.111188589
531,2072580.9925328735
542,2064240.5278455794
545,2036383.8609589103
560,2004564.7161943705
590,1982648.7185253697
594,1981041.4174451896
620,1978256.1637230625
621,1929474.756784734
632,1924778.4562491286
634,1913919.1365242258
638,1869642.9738648594
641,1854369.5309220124
662,1846082.4953409734
664,1837339.917840844
667,1787622.200745469
671,1784706.4162294958
675,1754567.1331775675
697,1629419.3049785353
726,1606849.0462325471
727,1547214.0244042366
753,1526904.674675249
756,1492421.022631728
773,1466633.4505280193
782,1435761.9419122364
783,1375384.2624571975
787,1374376.7840595194
812,1345271.5859512785
813,1286095.8229644336
841,1256411.6879187715
843,1249213.1068670088
847,1212059.3856711672
871,1162630.0590237011
895,1124384.1796879573
901,1095324.530881908
902,1094596.9232893838
909,1092332.8446406983
925,1083454.755431349
932,1076049.2104101407
933,1070850.2635021177
939,1064548.6376862896
946,1057841.9577305028
952,1055793.2532111728
958,1032455.5959150696
964,1021633.6042669701
971,1021552.8895975499
982,1016821.6098165563
986,1010530.1873285855
994,981702.6486360822
999,980113.8863956925
1017,969889.8802751685
1021,946963.3294568697
1028,925698.4575303397
1051,925665.1856359554
1056,908663.4282278667
1058,882083.6436100005
1068,870212.0457223364
1076,843274.5870333333
1086,825284.953861031
1096,811581.8910633328
1104,808909.4658756132
1106,794634.4962702023
1113,790241.6566143344
1116,775331.460111074
1117,756796.3819407355
1126,725426.0915594328
1143,721540.0286259186
1147,701640.9791893937
1148,692154.129166581
1174,671806.9604863188
1178,663289.9244068615
1181,657209.1727503531
1185,651898.9710528271
1204,637398.2952784083
1212,620946.272882633
1224,619699.1543092373
1230,601658.87334539
1231,598938.0419046105
1232,595957.426838682
1238,590582.037984667
1247,578114.8711735178
1261,563847.8365211667
1264,556407.7816535474
1268,536493.4948501623
1291,517543.71191696706
1311,514727.6042233137
1319,502309.9346391628
1321,483250.06656621746
