Evaluations,Fitness
1,2887617.3060205723
4,2763360.413825187
7,1532848.1655644013
10,768582.1008602687
4213,749111.2464456754
4243,738797.3016136922
4273,735669.0913463933
4303,735484.2042056785
4423,734802.8292091999
4543,734547.0679683462
4573,734004.8393639253
4603,733770.5407172185
4633,733677.7097389536
4663,733647.6053106386
4693,733643.6220664888
4753,733584.9798241581
4783,733543.0390179956
4813,733515.1596629041
4843,733496.3689268585
4873,733483.5705697612
4903,733474.7857472784
4933,733468.7216450085
4963,733464.5185574187
4993,733461.596870266
5023,733459.561721597
5053,733458.1420333745
5083,733457.1506603832
5113,733456.4578795837
5143,733455.9735113687
5173,733455.6347370064
5203,733455.3977338137
5233,733455.2318996203
5263,733455.1158490252
5293,733455.0346299458
5323,733454.9777845949
5353,733454.9379967724
5383,733454.9101472177
5413,733454.8906534716
5443,733454.8770083111
5473,733454.8674569243
5503,733454.8607710649
5533,733454.8560910169
5563,733454.8528150105
5593,733454.850521819
5623,733454.8489165909
5653,733454.8477929346
5683,733454.847006377
5713,733454.8464557874
5743,733454.8460703748
5773,733454.8458005862
5803,733454.8456117345
5833,733454.845479538
5863,733454.8453870007
5893,733454.8453222244
5923,733454.8452768811
5953,733454.8452451412
5983,733454.8452229229
6013,733454.8452073698
6043,733454.845196483
6073,733454.8451888624
6103,733454.8451835279
6133,733454.845179793
6163,733454.8451771792
6193,733454.8451753495
6223,733454.845174069
6253,733454.8451731727
6283,733454.8451725447
6313,733454.8451721058
6343,733454.8451717983
6373,733454.8451715825
6403,733454.8451714324
6433,733454.8451713265
6463,733454.8451712526
6493,733454.845171201
6523,733454.8451711646
6553,733454.8451711398
6583,733454.8451711214
6613,733454.8451711091
6643,733454.8451711006
6673,733454.8451710948
6703,733454.8451710903
6733,733454.8451710872
6763,733454.8451710852
6793,733454.8451710836
6823,733454.8451710826
6853,733454.8451710818
6883,733454.8451710816
6913,733454.8451710811
6943,733454.8451710807
6973,733454.8451710804
7213,733454.84517108
7243,733454.8451710793
7273,733454.8451710792
7303,733454.8451710786
7513,733454.8451710785
7630,724317.907516887
7660,716776.7209687353
7690,711583.9391802155
7720,707991.1558378928
7750,705496.8678139907
7780,703760.9897519645
7810,702550.8356503514
7840,701706.158444707
7870,701116.0754268427
7900,700703.6009171214
7930,700415.1547256797
7960,700213.3825146988
7990,700072.2106272958
8020,699973.4239496529
8050,699904.2897606371
8080,699855.9039061394
8110,699822.0377661199
8140,699798.3334075894
8170,699781.7413069649
8200,699770.1273021973
8230,699761.9977270389
8260,699756.3071362346
8290,699752.3237774575
8320,699749.5354531585
8350,699747.5836393033
8380,699746.2173760504
8410,699745.2609949309
8440,699744.5915296953
8470,699744.1229047885
8500,699743.7948677256
8530,699743.5652419635
8560,699743.4045040193
8590,699743.2919875016
8620,699743.2132259613
8650,699743.1580928934
8680,699743.1194997509
8710,699743.0924845536
8740,699743.0735739169
8770,699743.0603364715
8800,699743.0510702605
8830,699743.0445839126
8860,699743.0400434694
8890,699743.0368651589
8920,699743.0346403414
8950,699743.0330829697
8980,699743.0319928089
9010,699743.0312296967
9040,699743.0306955182
9070,699743.0303215932
9100,699743.0300598458
9130,699743.0298766225
9160,699743.0297483666
9190,699743.029658587
9220,699743.0295957414
9250,699743.0295517494
9280,699743.029520955
9310,699743.0294993994
9340,699743.0294843101
9370,699743.0294737479
9400,699743.0294663537
9430,699743.0294611781
9460,699743.0294575553
9490,699743.0294550193
9520,699743.029453244
9550,699743.029452001
9580,699743.0294511317
9610,699743.0294505227
9640,699743.0294500963
9670,699743.0294497978
9700,699743.0294495891
9730,699743.0294494428
9760,699743.0294493404
9790,699743.029449269
9820,699743.0294492187
9850,699743.0294491837
9880,699743.0294491589
9910,699743.0294491416
9940,699743.0294491298
9970,699743.0294491212
10000,699743.0294491154
10030,699743.0294491113
10060,699743.0294491085
10090,699743.0294491063
10120,699743.0294491054
10150,699743.029449104
10180,699743.0294491033
10210,699743.0294491029
10240,699743.0294491024
10270,699743.0294491022
10330,699743.0294491019
10600,699743.0294491017
11110,699743.0294491015
11140,699743.0294491008
11170,699743.0294491001
11200,699743.0294490998
11230,699743.0294490994
11260,699743.0294490992
11380,699743.0294490991
11470,699743.0294490987
