Evaluations,Fitness
30,21.193885
60,20.554022
90,20.199825
120,20.013818
150,19.978681
180,19.926440
210,19.919328
240,19.847264
270,19.714789
360,19.667980
390,19.643613
420,19.621407
480,19.597127
510,19.596566
540,19.585610
570,19.583942
600,19.571991
630,19.567173
660,19.555892
720,19.553573
750,19.552078
810,19.551884
840,19.551579
870,19.551445
900,19.551239
930,19.550982
960,19.550200
990,19.549781
1020,19.549683
1050,19.549601
1080,19.542340
1110,19.539913
1170,19.529948
1200,19.528420
1230,19.528117
1260,19.527609
1290,19.527500
1320,19.525182
1350,19.523909
1380,19.523279
1440,19.522815
1470,19.522781
1500,19.522758
1530,19.522730
1560,19.522565
1590,19.522550
1620,19.522502
1710,19.522493
1740,19.522492
1770,19.522492
1800,19.522491
1830,19.522491
1860,19.522491
1890,19.522491
1920,19.522491
1980,19.522491
2010,19.522491
2040,19.522491
2100,19.522491
2130,19.522491
2160,19.522491
2280,19.522491
2310,19.522491
2400,19.522491
2430,19.522491
2460,19.522491
2490,19.522491
2550,19.522491
2580,19.522491
2610,19.522491
2640,19.522491
2700,19.522491
2730,19.522491
2790,19.522491
2910,19.522491
2940,19.522491
2970,19.522491
4050,19.522489
4080,19.522458
4110,19.522456
4140,19.522452
4170,19.522449
4200,19.522448
4230,19.522447
4260,19.522447
4290,19.522447
4320,19.522447
4380,19.522447
4410,19.522447
4440,19.522446
4470,19.522446
4500,19.522446
4530,19.522446
4560,19.522445
4590,19.522445
4710,19.522445
4740,19.522445
4770,19.522445
4800,19.522445
4830,19.522445
4890,19.522445
4920,19.522445
4950,19.522445
5010,19.522445
5040,19.522445
5070,19.522445
5100,19.522445
5130,19.522445
5160,19.522445
5190,19.522445
5220,19.522445
5250,19.522445
5280,19.522445
5310,19.522445
5340,19.522445
5370,19.522445
5400,19.522445
5430,19.522445
5460,19.522445
5490,19.522445
5550,19.522445
7140,19.521631
7170,19.520375
7200,19.520123
7230,19.520083
7260,19.520037
7290,19.519958
7350,19.519956
7380,19.519949
7410,19.519936
7440,19.519923
7470,19.519912
7500,19.519903
7530,19.519901
7560,19.519898
7590,19.519896
7620,19.519895
7650,19.519894
7710,19.519894
7740,19.519894
7770,19.519894
7800,19.519894
7830,19.519894
7860,19.519894
8010,19.519894
8040,19.519894
8070,19.519894
8160,19.519894
8190,19.519894
8220,19.519894
8250,19.519894
8280,19.519894
8340,19.519894
8370,19.519894
8400,19.519894
8430,19.519894
8460,19.519894
8520,19.519894
8550,19.519894
8640,19.519894
8670,19.519894
8700,19.519894
8730,19.519894
8760,19.519894
8790,19.519894
8820,19.519894
8850,19.519894
8880,19.519894
8910,19.519894
