Evaluations,Fitness
1,187.219575
2,59.782019
3,44.225352
6,17.465246
10,12.825171
14,9.058220
23,3.419738
46,2.983158
51,2.675774
56,1.339512
62,0.565932
70,0.509043
109,0.498420
113,0.435271
121,0.434952
139,0.410548
156,0.408675
173,0.408576
183,0.408161
187,0.405770
190,0.402714
208,0.401312
223,0.398998
244,0.398382
271,0.397951
275,0.397941
282,0.397897
308,0.397893
318,0.397892
319,0.397892
328,0.397891
352,0.397891
368,0.397889
372,0.397889
401,0.397888
405,0.397888
415,0.397888
431,0.397888
433,0.397888
461,0.397888
493,0.397888
498,0.397888
518,0.397888
551,0.397888
578,0.397888
671,0.397888
729,0.397888
734,0.397888
751,0.397887
752,0.397887
754,0.397887
777,0.397887
778,0.397887
884,0.397887
1011,0.397887
1180,0.397887
1203,0.397887
1215,0.397887
