Evaluations,Fitness
1,2021.832591
2,1709.968469
4,1669.664358
5,1659.815182
18,1427.770343
22,1263.428045
31,1090.805224
32,969.922413
34,906.661460
36,845.751315
57,844.117243
61,794.244406
62,627.734157
85,602.791116
91,568.984200
92,556.405746
93,543.904354
98,522.182818
109,472.262507
114,421.195668
127,411.793881
128,401.315496
152,400.803475
160,383.495080
163,379.095774
179,374.265536
189,358.412857
223,356.901399
226,353.958914
260,353.046353
270,352.826551
273,349.217484
305,349.134866
306,347.418930
310,346.028543
336,344.894398
339,343.451961
373,343.184388
375,342.817711
416,342.669496
418,342.404930
421,342.165055
430,342.122943
451,342.043730
482,341.949767
485,341.903545
512,341.794563
577,341.791485
598,341.758945
602,341.753039
607,341.736330
670,341.724357
697,341.723915
704,341.715386
730,341.711566
782,341.710949
789,341.709901
838,341.709696
841,341.709508
882,341.709333
898,341.709148
902,341.709106
938,341.709037
942,341.708728
974,341.708719
989,341.708687
992,341.708644
997,341.708604
1021,341.708569
1034,341.708506
1084,341.708496
1159,341.708495
1174,341.708492
1207,341.708484
1238,341.708482
1264,341.708482
1292,341.708482
1324,341.708482
1328,341.708481
1355,341.708481
1382,341.708480
1427,341.708480
1442,341.708480
1452,341.708479
1514,341.708479
1535,341.708479
1597,341.708479
1646,341.708479
1649,341.708479
1667,341.708479
1715,341.708479
1734,341.708479
1745,341.708479
1829,341.708479
1832,341.708479
1833,341.708479
1835,341.708479
1839,341.708479
1893,341.708479
1895,341.708479
1916,341.708479
1926,341.708479
1974,341.708479
1991,341.708479
2016,341.708479
2022,341.708479
2033,341.708479
2034,341.708479
2055,341.708479
2096,341.708479
2123,341.708479
2133,341.708479
2183,341.708479
2235,341.708479
2254,341.708479
2297,341.708479
2318,341.708479
2331,341.708479
2345,341.708479
2355,341.708479
2376,341.708479
2402,341.708479
2452,341.708479
2607,341.708479
