Evaluations,Fitness
1,-0.075364
2,-0.889814
3,-1.869062
8,-2.256710
14,-2.272056
19,-2.676848
32,-2.831137
35,-3.090897
38,-3.295967
43,-3.371432
66,-3.710226
77,-3.743296
96,-3.819020
133,-3.826416
156,-3.826997
302,-3.827055
311,-3.827056
332,-3.827088
355,-3.827492
377,-3.827551
459,-3.827569
527,-3.827570
550,-3.827570
569,-3.827571
572,-3.827572
584,-3.827586
605,-3.827587
623,-3.827588
635,-3.827588
644,-3.827590
660,-3.827592
824,-3.827592
863,-3.827592
878,-3.827592
935,-3.827592
997,-3.827592
1000,-3.827592
1023,-3.827592
1028,-3.827592
1091,-3.827592
1105,-3.827592
1111,-3.827592
1116,-3.827592
1121,-3.827592
1131,-3.827592
1176,-3.827592
1221,-3.827592
1238,-3.827592
1261,-3.827592
1281,-3.827592
1288,-3.827592
1389,-3.827592
1618,-3.827592
1646,-3.827592
1654,-3.827592
1708,-3.827592
1853,-3.827592
1884,-3.827592
1965,-3.827592
2015,-3.827592
