Evaluations,Fitness
30,958.201492
60,763.183956
90,705.196285
120,622.837531
180,581.188219
210,546.007198
240,507.030809
270,473.051599
300,468.144831
330,456.658511
390,448.131056
450,445.801342
480,444.117991
510,443.890215
540,443.800935
570,443.617718
600,443.407754
630,443.354163
660,443.331098
690,443.326261
720,443.197373
750,442.565934
780,442.538010
810,442.487079
840,442.385919
870,442.355891
900,442.334388
930,442.328282
960,442.322237
1020,442.321469
1050,442.318438
1110,442.317962
1140,442.316487
1170,442.315432
1200,442.315424
1260,442.315226
1290,442.315190
1350,442.315184
1380,442.315174
1410,442.315173
1440,442.315172
1470,442.315167
1500,442.315167
1530,442.315165
1560,442.315165
1590,442.315165
1620,442.315165
1650,442.315165
1680,442.315164
1710,442.315164
1740,442.315164
1770,442.315164
1830,442.315164
1860,442.315164
1980,442.315164
2010,442.315164
2040,442.315164
2070,442.315164
2100,442.315164
2130,442.315164
2160,442.315164
2190,442.315164
2220,442.315164
2250,442.315164
2370,442.315164
2430,442.315164
2520,442.315164
2550,442.315164
2580,442.315164
2610,442.315164
2670,442.315164
2760,442.315164
3180,442.315164
