Evaluations,Fitness
1,1090813407.824484
2,1005393332.236725
3,601711554.488291
31,453970986.573592
32,331431115.531262
40,292207586.330202
43,279284323.662070
51,263512265.847125
55,207211007.598451
62,121378179.981509
66,117978467.299903
91,111757198.268707
92,92390995.059069
99,80442328.722834
122,74421669.669988
127,73319317.078669
130,64824121.795472
157,61310391.246810
162,60120543.487502
168,59503706.793533
188,56678397.530153
192,53454365.191238
217,52648217.735493
237,50788431.431939
247,50660892.055075
249,50584418.405001
272,50236422.664311
312,50168056.289275
315,49972251.806167
350,49908019.318175
369,49891236.178790
385,49856337.614007
393,49854031.768951
398,49850870.753949
399,49840249.087075
407,49739977.105880
445,49737889.556576
477,49678246.433207
489,49645449.050022
525,49636879.614024
535,49632466.886542
552,49611342.648170
585,49610324.288837
620,49597243.619316
639,49596709.184233
655,49592804.867785
672,49591851.988129
682,49589239.442325
706,49588853.993158
722,49588313.317032
734,49586712.115534
765,49586693.526642
782,49586103.671137
847,49585935.723609
892,49585850.183224
943,49585830.942124
1008,49585827.899878
1015,49585825.230823
1044,49585824.158001
1046,49585822.211375
1068,49585816.428863
1104,49585813.999990
1112,49585808.670324
1125,49585807.911773
1126,49585805.674342
1138,49585804.874072
1156,49585804.497356
1177,49585804.293876
1201,49585803.353915
1259,49585802.196209
1262,49585801.958598
1268,49585801.931647
1285,49585801.791293
1293,49585801.617272
1304,49585801.003015
1345,49585800.993442
1363,49585800.815069
1388,49585800.769625
1421,49585800.741427
1423,49585800.579423
1451,49585800.547407
1528,49585800.546943
1553,49585800.544629
1562,49585800.538282
1612,49585800.535092
1616,49585800.531538
1649,49585800.530098
1665,49585800.529147
1676,49585800.528528
1709,49585800.528225
1723,49585800.527904
1755,49585800.527851
1761,49585800.527842
1777,49585800.527340
1857,49585800.527306
1873,49585800.527301
1875,49585800.527294
1903,49585800.527291
1912,49585800.527259
1921,49585800.527235
1927,49585800.527227
1951,49585800.527226
1987,49585800.527222
2025,49585800.527222
2033,49585800.527214
2056,49585800.527214
2062,49585800.527214
2073,49585800.527213
2093,49585800.527213
2100,49585800.527213
2103,49585800.527212
2153,49585800.527212
2164,49585800.527211
2166,49585800.527211
2204,49585800.527211
2254,49585800.527211
2256,49585800.527211
2328,49585800.527211
2337,49585800.527211
2349,49585800.527210
2354,49585800.527210
2399,49585800.527210
2469,49585800.527210
2648,49585800.527210
2750,49585800.527210
