Evaluations,Fitness
30,650527.691325
60,551598.649339
120,496790.735851
150,406039.920327
180,391376.697600
240,376541.568932
270,342304.708981
330,339219.838825
360,338140.066322
390,336597.116487
420,335696.434439
450,335107.184324
540,334981.368861
570,334902.195775
600,334850.661287
630,334740.710596
660,334739.917763
690,334699.801602
720,334675.621829
750,334670.589433
780,334668.534514
810,334660.894137
870,334657.582192
900,334656.080221
930,334654.765274
960,334654.557612
990,334654.274380
1020,334653.964355
1050,334653.581750
1110,334653.433066
1140,334653.391829
1170,334653.376039
1200,334653.368399
1260,334653.362565
1290,334653.351340
1380,334653.351186
1410,334653.350116
1440,334653.349804
1470,334653.349188
1500,334653.349072
1530,334653.349028
1560,334653.348981
1650,334653.348977
1710,334653.348974
1740,334653.348973
1770,334653.348973
1800,334653.348972
1830,334653.348972
1860,334653.348972
1890,334653.348971
2040,334653.348971
2070,334653.348971
2130,334653.348971
2160,334653.348971
2190,334653.348971
2250,334653.348971
2280,334653.348971
2310,334653.348971
2400,334653.348971
2460,334653.348971
2670,334653.348971
