Evaluations,Fitness
1,2643.589044
4,2589.581470
15,2191.237434
31,1728.149940
33,1627.221836
41,1623.857596
49,1471.111617
61,1404.992049
63,1372.289772
68,1230.639193
91,1210.778372
92,1152.330714
115,1129.368121
121,1087.866547
122,1030.379708
154,1014.498371
169,1006.824072
181,1005.701163
182,992.569198
203,974.924829
214,974.266144
248,973.982022
253,966.090454
310,964.123418
347,963.035165
415,962.817223
426,962.433040
484,962.377470
516,962.328036
534,962.251269
601,962.250933
633,962.248008
634,962.245060
663,962.244349
670,962.243326
693,962.243294
702,962.242637
721,962.240445
735,962.239052
764,962.237632
843,962.237359
850,962.237078
884,962.237007
886,962.236993
931,962.236964
933,962.236758
964,962.236704
969,962.236633
994,962.236600
1016,962.236574
1054,962.236567
1100,962.236562
1161,962.236561
1171,962.236560
1181,962.236559
1184,962.236557
1195,962.236555
1203,962.236547
1208,962.236541
1251,962.236538
1260,962.236538
1275,962.236538
1281,962.236538
1284,962.236536
1311,962.236536
1340,962.236535
1371,962.236535
1391,962.236535
1418,962.236535
1431,962.236535
1438,962.236535
1490,962.236534
1525,962.236534
1550,962.236534
1585,962.236534
1610,962.236534
1639,962.236534
1646,962.236534
1690,962.236534
1736,962.236534
1740,962.236534
1742,962.236534
1746,962.236534
1749,962.236534
1815,962.236534
1847,962.236534
1863,962.236534
1868,962.236534
1869,962.236534
1934,962.236534
1959,962.236534
1992,962.236534
2073,962.236534
2109,962.236534
2153,962.236534
2208,962.236534
2246,962.236534
2251,962.236534
2289,962.236534
2341,962.236534
2414,962.236534
3644,962.236534
