Evaluations,Fitness
1,343647.645554
2,328774.219130
3,324483.407025
4,258714.718633
13,256600.459101
16,234963.486802
32,218620.942239
33,210466.291171
34,182690.978366
36,175357.162129
50,173423.796257
51,157294.791247
64,137834.443184
72,133104.087483
80,130091.892853
94,125283.335700
96,118922.920630
129,113897.198018
162,112476.196361
164,110413.642375
233,109860.973518
249,109355.223373
252,109090.364195
292,108894.251544
293,108766.371169
312,108606.567164
344,108579.294791
348,108572.647374
372,108463.683490
382,108442.531756
432,108362.430995
476,108350.420829
477,108348.827697
496,108330.706392
506,108307.711897
546,108304.731641
574,108303.607596
582,108301.903215
586,108297.847974
612,108296.439166
627,108295.153698
695,108295.034081
728,108294.755980
748,108291.981811
759,108291.246055
765,108290.745317
789,108290.566745
839,108290.520436
879,108290.498107
906,108290.475629
922,108290.427839
939,108290.426817
940,108290.423355
969,108290.421294
982,108290.404906
1089,108290.404718
1120,108290.403797
1183,108290.403559
1217,108290.403286
1289,108290.403240
1303,108290.403225
1337,108290.403224
1360,108290.403223
1363,108290.403218
1397,108290.403217
1433,108290.403215
1436,108290.403209
1443,108290.403206
1483,108290.403205
1574,108290.403205
1592,108290.403205
1643,108290.403204
1649,108290.403204
1654,108290.403203
1658,108290.403203
1678,108290.403203
1682,108290.403203
1686,108290.403203
1688,108290.403203
1703,108290.403202
1748,108290.403202
1785,108290.403202
1809,108290.403202
1904,108290.403202
1912,108290.403202
1922,108290.403202
1929,108290.403202
1935,108290.403202
1936,108290.403202
1954,108290.403202
1973,108290.403202
1986,108290.403202
1998,108290.403202
2019,108290.403202
2046,108290.403202
2056,108290.403202
2094,108290.403202
2113,108290.403202
2152,108290.403202
2161,108290.403202
2203,108290.403202
2244,108290.403202
2250,108290.403202
2274,108290.403202
2281,108290.403202
2290,108290.403202
2339,108290.403202
2355,108290.403202
2400,108290.403202
2429,108290.403202
3317,108290.403202
