Evaluations,Fitness
1,10233387.378537
5,8298534.974437
9,6883422.633722
17,6516327.015168
31,6139245.943809
33,5529388.922719
35,5343122.107845
41,4723715.444654
61,3803551.731916
63,3295144.344324
75,3106632.568733
97,3070791.147047
115,3034662.000798
124,2982508.481812
126,2974847.963561
127,2834278.294932
153,2830018.779536
155,2728208.794485
193,2656345.673867
243,2654617.329064
245,2653959.182482
256,2649445.025752
266,2637908.762443
286,2631829.904847
297,2631542.646355
303,2623859.008002
343,2623734.972159
359,2619539.238973
373,2618524.864650
376,2614450.710596
394,2612656.716184
403,2608252.695569
437,2604045.367681
514,2603938.095678
517,2603846.276545
541,2602959.881499
597,2602603.249005
603,2602595.855050
615,2602322.153894
646,2602103.146358
683,2602087.155230
796,2602085.429723
814,2602085.227468
827,2602084.626925
854,2602084.502375
855,2602083.719550
864,2602083.174899
904,2602082.993454
906,2602082.949282
920,2602080.582455
941,2602074.670527
1021,2602074.660520
1024,2602074.412409
1051,2602074.132016
1086,2602074.070837
1114,2602074.052672
1143,2602073.990620
1176,2602073.976019
1200,2602073.965560
1219,2602073.965522
1236,2602073.962898
1260,2602073.952572
1326,2602073.950802
1357,2602073.949563
1394,2602073.949248
1410,2602073.948085
1484,2602073.948072
1486,2602073.947644
1577,2602073.947642
1583,2602073.947632
1597,2602073.947628
1606,2602073.947611
1607,2602073.947609
1616,2602073.947601
1627,2602073.947593
1676,2602073.947590
1687,2602073.947588
1697,2602073.947587
1717,2602073.947586
1723,2602073.947582
1747,2602073.947582
1776,2602073.947580
1856,2602073.947580
1880,2602073.947580
1897,2602073.947580
1967,2602073.947580
1981,2602073.947580
1982,2602073.947580
2001,2602073.947580
2006,2602073.947580
2014,2602073.947580
2072,2602073.947580
2086,2602073.947580
2112,2602073.947580
2180,2602073.947580
2200,2602073.947580
2240,2602073.947580
2257,2602073.947580
2292,2602073.947580
2311,2602073.947580
6500,2602073.947580
7654,2602073.947580
