Evaluations,Fitness
1,243.963333
3,109.235535
6,57.526677
9,8.625979
12,6.078422
18,0.288295
42,-0.623103
71,-0.697906
138,-0.897943
206,-1.006429
286,-1.013742
296,-1.019428
470,-1.030161
616,-1.031343
646,-1.031627
1906,-1.031627
2106,-1.031628
2116,-1.031628
2416,-1.031628
2626,-1.031628
2656,-1.031628
2686,-1.031628
2716,-1.031628
2746,-1.031628
2776,-1.031628
2806,-1.031628
2866,-1.031628
2896,-1.031628
2926,-1.031628
2956,-1.031628
2986,-1.031628
2993,-1.031628
3016,-1.031628
3076,-1.031628
3346,-1.031628
3376,-1.031628
3496,-1.031628
3526,-1.031628
3616,-1.031628
3646,-1.031628
3676,-1.031628
3706,-1.031628
3736,-1.031628
3766,-1.031628
3796,-1.031628
3826,-1.031628
3856,-1.031628
3886,-1.031628
3916,-1.031628
3946,-1.031628
3976,-1.031628
4006,-1.031628
4036,-1.031628
4066,-1.031628
4096,-1.031628
4126,-1.031628
4156,-1.031628
4186,-1.031628
4206,-1.031628
4216,-1.031628
4246,-1.031628
4306,-1.031628
4386,-1.031628
4403,-1.031628
4426,-1.031628
4456,-1.031628
5016,-1.031628
5226,-1.031628
5466,-1.031628
5826,-1.031628
5886,-1.031628
6306,-1.031628
6456,-1.031628
6696,-1.031628
6726,-1.031628
6846,-1.031628
7116,-1.031628
9107,-1.031628
9467,-1.031628
14840,-1.031628
