Evaluations,Fitness
1,122.886787
3,28.221762
93,18.385877
123,9.794991
204,3.087296
508,3.003227
836,3.002326
873,3.000994
1070,3.000729
1109,3.000619
1122,3.000526
1138,3.000372
1173,3.000157
1322,3.000040
1397,3.000020
1625,3.000019
1649,3.000003
1745,3.000000
2024,3.000000
2065,3.000000
2157,3.000000
2244,3.000000
2514,3.000000
2634,3.000000
2724,3.000000
2729,3.000000
2752,3.000000
2759,3.000000
2762,3.000000
2789,3.000000
2792,3.000000
2822,3.000000
2844,3.000000
3264,3.000000
3474,3.000000
3514,3.000000
3515,3.000000
3965,3.000000
4036,3.000000
4326,3.000000
6762,3.000000
