Evaluations,Fitness
1,851253653.749153
2,771964598.917053
6,690597786.894890
32,357999319.224361
33,157571985.590623
39,142566297.149764
40,139933608.003726
92,101898854.897388
96,85613595.047804
97,69799815.657024
153,64941066.502723
154,46613341.351836
169,35982968.273891
191,27138185.319689
221,12527136.000266
272,11175148.986947
346,8632421.317917
392,3818231.117278
687,3777849.963143
693,3399031.106522
723,3362653.792406
726,3169980.416478
797,2806330.647712
812,2785885.350848
842,2733831.939037
856,2667650.303631
876,2480527.370806
882,2307787.818119
919,2213815.369960
951,2100496.664364
975,2048668.171736
1052,1785683.074972
1191,1688306.366537
1192,1656357.089236
1207,1656290.252300
1223,1465708.020402
1263,1458438.068507
1375,1427669.498142
1471,1423538.625016
1537,1417007.041848
1554,1415228.954342
1627,1413908.884877
1644,1410266.983812
1682,1409754.832057
1694,1398817.297154
1717,1386335.256257
1747,1373140.872622
1777,1369219.866657
1843,1368333.631787
1873,1367194.609125
1923,1361160.136479
1936,1354595.809934
1966,1341788.229775
2024,1329086.400052
2114,1328255.832338
2149,1312322.464323
2196,1304896.027729
2229,1303007.904193
2308,1299716.597407
2313,1297264.739752
2338,1294483.332096
2371,1293241.372566
2434,1288486.161661
2449,1268032.863602
2529,1267570.743621
2533,1266354.495071
2589,1266260.415515
2607,1265882.362420
2638,1263797.899465
2664,1263165.952115
2678,1260628.668378
2730,1250653.374129
2760,1245410.311868
2790,1243663.745879
2820,1242745.996146
2838,1241371.692450
2868,1240116.905394
2893,1238052.886670
2983,1237413.840359
3013,1236638.862080
3026,1231219.368180
3167,1229637.741945
3252,1228409.462579
3315,1228383.702994
3372,1227250.748908
3402,1226121.703230
3410,1222153.703200
3486,1221343.828320
3496,1219454.910307
3602,1217579.851150
3722,1217495.958583
3726,1217105.963054
3733,1216724.559771
3763,1216547.625743
3793,1216387.348523
3913,1216387.058671
3934,1216095.142360
3964,1215956.184800
3994,1215884.245284
3997,1215573.544573
4088,1215521.516135
4097,1215099.954952
4132,1214761.070834
4152,1214746.266103
4184,1214698.653179
4197,1214486.913465
4210,1214258.144140
4227,1213791.960262
4240,1213389.577952
4270,1213324.769195
4299,1212455.493166
4329,1211561.512098
4353,1211548.103010
4383,1210245.349753
4413,1209901.889881
4443,1209864.777252
4473,1209848.319668
4495,1208512.141988
4525,1208395.240552
4534,1206933.381570
4630,1205847.783137
4660,1205543.184479
4667,1204623.508810
4697,1204565.695460
4716,1204344.484192
4736,1204230.377094
4746,1203157.588247
4776,1203064.387913
4793,1202096.211278
4849,1202084.109772
4877,1201353.020109
4962,1201283.222434
4967,1201133.894161
4975,1200812.219347
5022,1200460.503483
5039,1200334.934869
5052,1200168.771155
5080,1199912.575270
5110,1199504.795261
5140,1199448.368395
5141,1199250.265694
5169,1198826.398598
5199,1198513.611923
5287,1198131.345387
5294,1197980.250938
5324,1197873.327004
5404,1197818.033898
5410,1197756.382376
5434,1197697.877480
5464,1197696.769110
5477,1197684.249756
5478,1197570.470406
5486,1197196.748415
5507,1197024.900725
5516,1196877.392161
5537,1196832.314200
5596,1196500.879664
5616,1196500.146177
5626,1196492.738975
5643,1196447.029775
5645,1196304.468087
5698,1195953.479222
5722,1195772.673041
5752,1195587.276279
5782,1195581.075514
5788,1195307.794994
