Evaluations,Fitness
1,21.371965
11,21.290839
16,21.201180
32,21.031703
36,20.904917
46,20.767945
47,20.508960
112,20.369577
118,20.290238
122,20.268325
177,20.200068
186,19.800964
297,19.710107
456,19.671990
552,19.565746
651,19.561723
721,19.481656
741,19.465707
782,19.285226
857,19.281794
964,19.233919
1072,19.124489
1192,19.103180
1314,19.059158
1541,18.995267
1828,18.942639
1868,18.921435
2030,18.915231
2180,18.914523
2210,18.910770
2240,18.908980
2269,18.899861
2348,18.899847
2378,18.898690
2389,18.873706
2488,18.868583
2537,18.868216
2607,18.855373
2706,18.833990
2730,18.824369
2808,18.823854
2850,18.823499
3011,18.820121
3014,18.813358
3112,18.801739
3142,18.795231
3172,18.794097
3262,18.794055
3387,18.791601
3687,18.791525
3895,18.791473
3966,18.791365
4116,18.791120
4258,18.790919
4378,18.790755
4492,18.790697
4522,18.790231
4642,18.790227
4645,18.790177
4684,18.790035
4811,18.789990
5226,18.789987
5241,18.789945
5261,18.789887
5319,18.789670
5371,18.789600
5389,18.789468
5419,18.789196
5487,18.789161
5488,18.789152
5517,18.788903
5575,18.788729
5605,18.788584
5691,18.788241
5749,18.788238
5772,18.788217
5779,18.787954
5791,18.787875
5809,18.787861
5821,18.787807
5851,18.787773
5865,18.787760
5890,18.787460
5920,18.787314
5994,18.787236
5996,18.787021
6024,18.785544
6036,18.785376
6054,18.785143
6092,18.784843
6101,18.784822
6120,18.784564
6122,18.784288
6196,18.783924
6226,18.783403
6295,18.783303
6324,18.783247
6325,18.783191
6336,18.783144
6351,18.783113
6364,18.783012
6381,18.782770
6394,18.782243
6469,18.782158
6478,18.781970
6499,18.781821
6508,18.781613
6557,18.781247
6652,18.781213
6657,18.781133
6682,18.780941
6712,18.780861
6862,18.780855
6892,18.780852
6897,18.780834
6927,18.780820
6957,18.780819
7015,18.780790
7041,18.780790
7045,18.780778
7075,18.780776
7086,18.780730
7116,18.780618
7139,18.780564
7146,18.780555
7178,18.780554
7208,18.780523
7238,18.780523
7288,18.780521
7305,18.780516
7317,18.780497
7320,18.780478
7338,18.780275
7347,18.780267
7385,18.780101
7446,18.780090
7461,18.780080
7476,18.779895
7506,18.779876
7596,18.779875
7626,18.779871
7656,18.779869
7686,18.779868
7708,18.779868
7716,18.779868
7738,18.779865
7768,18.779848
7798,18.779844
7828,18.779843
7858,18.779843
7888,18.779843
8007,18.779832
8037,18.779831
8062,18.779810
8185,18.779809
8217,18.779798
8275,18.779795
8278,18.779792
8305,18.779784
8376,18.779775
8406,18.779775
8419,18.779753
8449,18.779741
8535,18.779737
8548,18.779726
8565,18.779710
8587,18.779692
8617,18.779577
8647,18.779564
8677,18.779555
8708,18.779549
8738,18.779499
8759,18.779493
8798,18.779493
8805,18.779433
8810,18.779418
8835,18.779362
8887,18.779326
8906,18.779298
8917,18.779281
8936,18.779281
8970,18.779279
8988,18.779248
9008,18.779235
9085,18.779187
9115,18.779182
9216,18.779170
9306,18.779169
9342,18.779166
9355,18.779156
9358,18.779155
9415,18.779153
9426,18.779150
9508,18.779150
9522,18.779148
9523,18.779146
9601,18.779144
9657,18.779142
9723,18.779140
9786,18.779139
9802,18.779137
9867,18.779133
9987,18.779133
9996,18.779129
10026,18.779128
10063,18.779128
10093,18.779126
10141,18.779122
10171,18.779118
10240,18.779098
10270,18.779094
10333,18.779082
10376,18.779082
10383,18.779079
10401,18.779074
10431,18.779065
10461,18.779064
10474,18.779063
10481,18.779060
10482,18.779052
10512,18.779051
10542,18.779050
10564,18.779043
10587,18.779043
10654,18.779043
10667,18.779041
10675,18.779037
10705,18.779035
10735,18.779035
10746,18.779033
10791,18.779033
10804,18.779030
10842,18.779026
10891,18.779024
10947,18.779014
11035,18.779010
