Evaluations,Fitness
1,255873007.456354
31,180702349.165231
119,171647229.396887
126,164365215.476115
142,162706970.576616
172,140041761.009934
195,138445898.118178
225,136010272.437062
255,135822234.227938
285,135816709.441413
305,131990240.414014
333,124604322.550024
358,123478381.637523
363,121813400.610801
374,115512930.822518
394,107781538.869606
476,105049453.411822
485,102759249.508211
596,102114628.728757
644,97925555.201297
734,97876081.016870
783,96873686.967536
792,96247066.055881
813,92107636.397376
895,91836283.978373
976,91721379.614566
981,88636432.849494
1011,88393303.260609
1041,88088172.128220
1054,88034759.251037
1115,87278289.060818
1116,86813906.153255
1201,86769078.117059
1213,86742515.153197
1230,86742264.291754
1263,86526362.992377
1272,85312703.851134
1274,84637355.937165
1377,83788012.552113
1414,83616104.847846
1505,83552232.931325
1523,82068729.176786
1632,81099880.662924
1666,80616285.835687
1696,80596477.783381
1784,80364320.441078
1801,79699183.319591
1891,79677748.059735
1921,79644942.192447
1951,79631675.222448
1962,79424996.781700
1979,79333790.203535
2053,79246883.676742
2104,79132836.850505
2134,78951303.931764
2164,78944976.292327
2193,78787272.385677
2225,78639185.620887
2285,78636159.483065
2328,78604291.916376
2376,78473527.762006
2413,78297104.822938
2491,78235705.661199
2509,78223224.182964
2521,78032971.888935
2583,78026456.042102
2588,77973953.933567
2590,77946463.098041
2656,77701272.130869
2718,77680319.822065
2748,77634117.306711
2753,77575798.279607
2811,77569114.329390
2841,77436149.896236
2859,77394076.587575
2889,77354803.775102
2911,77262863.402062
2959,77260039.229774
2973,77257246.609677
2999,77142843.637987
3059,77137026.481851
3073,77070958.516515
3078,76995366.138894
3107,76984355.650620
3137,76977955.450129
3155,76786587.669855
3224,76684190.089924
3291,76670738.376870
3304,76664223.045219
3313,76480878.606457
3328,76427451.417901
3375,76290749.707605
3405,76120424.438409
3435,76106399.086662
3460,76077258.969615
3473,76055222.912513
3478,76051198.077638
3508,76023374.924804
3513,75984265.897261
3548,75796633.330606
3627,75582792.341723
3687,75573324.793579
3717,75565084.723800
3724,75477941.301821
3754,75416604.130385
3808,75391783.928538
3845,75290788.815918
3875,75230862.638312
3894,75213826.317318
3905,75210602.990100
3935,75208670.703324
3944,75191602.596897
3974,75190012.546063
3977,75147560.813777
4007,75125834.054902
4008,74924302.706297
4038,74894462.880903
4131,74826593.312697
4185,74706754.188988
4214,74680726.955337
4215,74595253.369283
4245,74568403.609410
4270,74562272.437909
4275,74554081.665193
4300,74423048.022919
4380,74392533.619230
4410,74320640.480171
4456,74286304.203199
4482,74274973.110461
4486,74132939.583247
4516,74074588.252444
4594,74022081.368248
4608,73939508.483501
4638,73855389.559021
4706,73831947.441347
4733,73764621.668792
4832,73746525.463856
4833,73708060.608948
4863,73691922.464026
4945,73681866.391237
4959,73640955.593874
5011,73630288.381051
5041,73592202.079747
5059,73533877.706569
5131,73525980.720076
5135,73476615.436033
5165,73466523.609862
5234,73406328.428368
5264,73396466.276263
5284,73385279.111235
5345,73372062.986478
5368,73229404.505399
5470,73191461.742900
5500,73146411.286406
5530,73126164.484717
5558,73122631.193788
5568,73096008.135553
5616,73095078.225580
5628,73093651.336070
5637,73077581.254567
