Evaluations,Fitness
1,8472185.117270
8,8277064.885989
16,6401145.433424
29,6399525.132180
31,3713490.955921
181,3569849.067087
278,3492283.786186
304,3406878.615498
338,3356402.587065
341,3355951.153024
388,3228425.148308
410,3203165.900492
451,3193444.189689
456,3001976.779132
529,2885226.863470
553,2777637.632227
609,2736906.004202
622,2727540.043320
643,2712272.947779
669,2665552.497460
690,2573978.503341
698,2569931.285751
729,2486624.588282
803,2466887.645759
878,2456164.053678
954,2443906.688763
964,2441242.741239
1049,2430727.017090
1052,2402403.061424
1096,2380386.244156
1126,2375957.358028
1142,2371435.915413
1148,2354595.662384
1215,2350856.649536
1222,2324852.884408
1231,2294642.134143
1321,2291889.660203
1382,2286936.015066
1398,2247739.477938
1428,2229636.465559
1487,2227615.243644
1517,2211489.491229
1614,2207929.247495
1673,2203499.766501
1700,2197370.195630
1729,2153296.066841
1759,2146240.016946
1853,2146014.227586
1891,2142692.794828
1949,2138658.934987
1952,2129174.085722
1996,2127707.419174
2012,2122747.084416
2022,2122076.148545
2023,2119715.779354
2108,2116795.962005
2111,2112924.978686
2162,2110730.830730
2192,2106797.233727
2212,2106248.818286
2257,2106153.541255
2258,2101952.247686
2259,2099296.502463
2345,2097403.351325
2416,2095847.809434
2446,2088350.467008
2476,2087431.611327
2496,2085308.529847
2548,2083148.949433
2578,2082649.376248
2608,2082638.244441
2623,2082396.256746
2628,2080042.115754
2756,2079382.047418
2771,2078809.029982
2777,2076668.082532
2897,2076597.793013
2927,2076587.985310
2957,2076580.611222
2971,2076559.245921
2994,2076025.049050
3050,2075605.887241
3080,2075577.243103
3101,2074872.586998
3209,2074444.319319
3274,2074114.573500
3315,2073996.609948
3344,2073097.898391
3508,2072800.595352
3541,2072505.999326
3588,2072424.218523
3617,2072381.507708
3636,2072118.896975
3666,2071952.225559
3759,2071479.555761
3789,2071424.504262
3819,2071412.367104
3830,2070858.720314
3860,2070541.401458
3895,2070211.854153
3903,2070137.456288
3951,2069992.433985
3981,2069864.562357
3989,2069452.309302
4019,2069274.765709
4035,2069155.565524
4065,2068745.136795
4096,2068718.816345
4124,2068650.625296
4150,2068627.036641
4154,2068621.722080
4172,2068549.291265
4204,2068489.737525
4216,2068292.115791
4323,2068286.864059
4397,2068257.330809
4399,2068243.794728
4539,2068239.352010
4628,2068239.105309
4647,2068238.283214
4658,2068236.480519
4688,2068233.534113
4701,2068231.505351
4750,2068204.568577
4930,2068204.012090
4938,2068202.721744
5007,2068201.983484
5015,2068201.560407
5023,2068201.008075
5045,2068191.520902
5165,2068191.059007
5186,2068190.583989
5216,2068186.757723
5221,2068185.091996
5264,2068184.614833
5294,2068179.659002
5324,2068179.657441
5354,2068179.656468
5382,2068179.258712
5398,2068166.792051
5428,2068159.642229
5463,2068158.694779
5465,2068156.508410
5526,2068154.711425
5542,2068154.256709
5576,2068153.086231
5589,2068150.742638
5591,2068147.469519
5647,2068146.515521
5650,2068142.608793
5723,2068141.512892
5748,2068141.193618
5753,2068141.127375
5778,2068140.377365
5809,2068139.879250
5864,2068139.553093
5889,2068139.470680
5896,2068139.267634
5907,2068138.485627
5919,2068138.136862
5926,2068134.515821
6002,2068134.507835
6010,2068130.561409
6042,2068129.738071
6072,2068129.692329
6099,2068129.477974
6108,2068128.854803
6129,2068128.333603
6131,2068125.359884
6161,2068123.043118
6239,2068120.340144
6269,2068117.606514
6299,2068116.213978
6345,2068114.090001
6375,2068113.016659
6406,2068112.585460
6422,2068111.792976
6434,2068110.983618
6440,2068109.445414
6492,2068108.174782
6505,2068107.007529
6508,2068105.679028
6535,2068101.461853
6591,2068099.049295
6655,2068096.914278
6681,2068095.999859
6750,2068091.492388
6780,2068091.041310
6810,2068090.515816
6816,2068090.182565
6823,2068087.463061
6853,2068085.523732
6941,2068085.346671
6971,2068084.414726
6982,2068084.330780
7012,2068083.470666
7019,2068082.301088
7049,2068081.471617
7057,2068080.910688
7081,2068078.359215
7111,2068078.278947
7122,2068076.618188
7219,2068076.321442
7236,2068075.546819
7249,2068075.014723
7279,2068074.597397
7291,2068074.491928
7355,2068074.256732
7356,2068073.811443
7370,2068072.175770
7400,2068070.756287
7490,2068070.744572
7520,2068070.536469
7529,2068070.220481
7545,2068069.446126
7600,2068068.937223
7604,2068068.605623
7621,2068067.143016
7651,2068066.122275
7763,2068065.163014
7814,2068065.076984
7876,2068063.978357
7906,2068063.605174
7936,2068063.579545
7948,2068063.222483
7954,2068060.755473
8028,2068060.646611
8047,2068059.973050
8058,2068058.167939
8135,2068056.806904
8147,2068056.469413
8191,2068054.569865
8221,2068053.220107
8319,2068051.895499
8349,2068051.367578
8379,2068051.237866
8395,2068051.122246
8403,2068050.131032
8425,2068049.219440
8433,2068048.184518
8481,2068047.921033
8511,2068047.427107
8518,2068046.383386
8548,2068045.936873
8578,2068045.922183
8607,2068045.188955
8613,2068045.157883
8637,2068044.693165
8681,2068044.429950
8696,2068041.829665
8744,2068040.099875
8774,2068039.964647
8799,2068039.290676
8870,2068039.075128
8885,2068037.697195
8915,2068037.614756
8921,2068037.535512
8932,2068037.308545
8957,2068036.296171
9001,2068036.005272
9031,2068035.430246
9151,2068035.369684
9158,2068034.969522
9219,2068034.532811
9293,2068034.290729
9295,2068034.175621
9344,2068033.941900
9356,2068033.375106
9386,2068033.277105
9402,2068033.246770
9430,2068032.344349
9451,2068032.257289
9460,2068032.059491
9512,2068031.877835
9539,2068031.667981
9572,2068031.633438
9574,2068031.611616
9612,2068030.949671
9616,2068029.632763
9664,2068029.624983
9676,2068029.574544
9706,2068029.408904
9718,2068027.860969
9748,2068026.597065
9785,2068025.655831
9813,2068023.984354
9887,2068023.203235
9947,2068023.202792
9958,2068022.117800
9961,2068022.113777
9977,2068022.040140
9988,2068021.635361
10014,2068020.647801
10044,2068020.471145
10053,2068020.417697
10056,2068020.417256
10070,2068020.324797
10083,2068020.321866
10113,2068018.949432
10141,2068018.733739
10167,2068018.015163
10197,2068017.603477
10209,2068017.438022
10286,2068017.343544
10298,2068016.903771
10302,2068016.516013
10310,2068016.506442
10332,2068014.717622
10450,2068014.470190
10479,2068014.404549
