"Evaluations","Fitness"
1,-1.91043972021478
4,-2.51968020107332
71,-2.77105214715677
73,-3.4350624961521
162,-3.73373178313047
376,-3.84220721940406
1327,-3.8490770656964
1596,-3.8504009733911
1743,-3.8516078797731
1744,-3.8517398991203
1776,-3.85209139829872
1960,-3.85273444336006
2254,-3.85299965953336
2496,-3.85303783998571
2527,-3.85443793848354
3004,-3.85480762002838
3811,-3.85482878506309
3814,-3.85489789171086
5163,-3.854898386438
5254,-3.85490119865082
5440,-3.85490143470184
6160,-3.85490176374555
6970,-3.85490179452092
8977,-3.85490179510205
9574,-3.85490179519694
9663,-3.85490179520787
10480,-3.85490179524493
10660,-3.8549017952454
10749,-3.85490179524544
11110,-3.85490179524809
11199,-3.8549017952481
11593,-3.85490179525197
12999,-3.85490179525209
13989,-3.8549017952521
14079,-3.85490179525215
14104,-3.85490179525243
14193,-3.85490179525258
14472,-3.85490179525272
14923,-3.85490179525273
15462,-3.85490179525273
16902,-3.85490179525273
21640,-3.85490179525273
