"Evaluations","Fitness"
1,1579985.19186734
2,1073559.77254898
122,1064637.18105041
123,1061547.57134286
124,1058669.83083177
126,1056578.85215813
128,1055400.06108943
138,1053454.7117632
147,1053230.06666065
170,1049543.56474383
176,1048173.5931979
177,1047011.25633482
1922,1043618.44823876
1923,1041655.75047192
1924,1039809.40355393
1926,1038459.25769188
1928,1037700.22824943
1938,1036582.44020171
1947,1036359.30028358
1970,1033694.34093148
1976,1032748.31764302
1977,1031949.3265396
3722,1029857.84328844
3723,1028581.96907559
3724,1027371.88123847
3726,1026482.41334769
3728,1025983.49364774
3738,1025320.58068986
3747,1025132.09745745
3770,1023225.26598593
3776,1022569.39851292
3777,1022017.28064388
5522,1020692.14875194
5523,1019847.06377267
5524,1019040.35623938
5526,1018444.98948004
5528,1018111.62213586
5538,1017706.15701634
5547,1017558.3989617
5570,1016203.35056835
5576,1015747.35426341
5577,1015364.38794773
7322,1014504.85975147
7323,1013936.83348115
7324,1013391.91164467
7326,1012988.51268758
7328,1012762.93500509
7338,1012507.81065742
7347,1012396.62832111
7369,1012385.49982445
7370,1011438.16392776
7376,1011120.49086812
7377,1010854.13738155
9122,1010285.81906693
9123,1009899.73195314
9124,1009527.97565164
9126,1009252.14169117
9128,1009098.04924806
9138,1008933.52581032
9147,1008851.89984286
9160,1008851.53827619
9169,1008835.49432702
9170,1008176.10881369
9176,1007954.48460532
9177,1007768.88140257
10922,1007387.40077949
10923,1007122.7901248
10924,1006867.30831593
10926,1006677.43174525
10928,1006571.43488304
10938,1006463.15964339
10947,1006404.16028346
10960,1006401.20753666
10969,1006388.45479397
10970,1005928.72224567
10976,1005773.95129716
10977,1005644.44273178
12190,993227.451923514
12191,977708.28525103
12192,962286.969626577
12215,955068.112011891
12776,952554.645635353
12777,952470.562544735
13982,934744.48462092
13985,919862.367454805
13990,907268.747569354
13991,897200.614776253
13992,887148.361517876
14015,882665.137211088
