Evaluations,Fitness
1,1346
6,1255.48
8,1255.41
9,1206.03
37,1192.42
79,1168.2
99,1128.9
100,1091.05
108,1078.91
137,1060.76
143,1043.47
144,1036.94
185,988.93
245,975.44
266,932.767
298,883.108
393,854.811
546,809
604,788.033
637,787.032
749,720.54
753,697.94
1128,693.954
1244,680.299
1291,670.977
1369,665.817
1475,631.643
1682,602.517
1774,588.064
1804,535.907
2226,503.27
2463,484.161
2798,473.988
2917,467.772
3217,467.515
3247,465.94
3457,463.457
3614,459.427
3616,451.026
3675,448.163
3733,436.807
3763,432.76
3793,426.77
3853,422.498
3882,421.406
3885,416.893
4033,409.685
4133,409.182
4155,406.464
4245,403.735
4344,401.596
4404,401.334
4482,399.119
4494,397.384
4522,395.494
4524,387.688
4726,386.455
4754,384.088
4758,383.226
4786,380.659
4814,380.384
4816,378.732
4842,378.341
4874,376.864
4964,376.859
5022,376.301
5053,375.668
5058,370.766
5146,368.195
5206,367.915
5238,366.948
5326,366.529
5356,365.616
5385,365.257
5386,365.177
5388,364.158
5475,363.291
5477,362.528
5478,361.113
5506,358.484
5568,357.876
5576,354.624
5606,351.973
5633,351.193
5693,349.644
5722,348.255
5813,347.966
5846,341.206
5876,330.439
5906,321.874
5992,318.944
6056,316.977
6057,313.188
6175,308.421
6203,307.498
6205,305.47
6206,303.842
6264,297.416
6413,296.153
6442,290.902
6503,290.046
6535,289.876
6563,288.352
6565,288.142
6653,287.299
6681,283.507
6711,283.314
6771,280.864
6833,279.712
6863,279.711
6864,278.294
6921,274.524
6985,273.417
7074,273.107
7075,270.321
7099,268.619
7163,267.053
7165,266.078
7223,266.067
7255,266.046
7309,265.176
7311,261.935
7402,260.359
7523,259.803
7553,259.512
7610,259.163
7700,255.917
7763,253.166
7822,252.134
7887,250.923
7917,249.091
8005,248.066
8033,247.235
8124,242.883
8154,241.204
8242,239.343
8301,237.212
8303,236.981
8330,235.355
8391,234.425
8452,233.847
8570,233.786
8601,233.381
8722,233.161
8783,232.561
8811,232.516
8873,232.238
8989,231.392
9051,230.949
9079,230.804
9080,230.416
9109,230.236
9141,229.877
9142,229.682
9170,229.499
9171,229.416
9259,228.956
9291,228.94
9350,228.368
9358,222.901
9508,222.093
9537,220.662
9656,220.604
9776,220.235
9806,220.098
9838,219.792
9896,219.653
9954,219.614
9956,219.033
9958,219.031
9986,218.751
10042,218.577
10044,218.038
10104,217.979
10106,217.923
10136,217.835
10197,217.395
10255,217.356
10286,217.224
10315,217.096
10435,216.855
10498,216.851
10526,216.682
10527,216.386
10555,216.332
10616,216.329
10644,216.284
10764,216.124
10795,216.096
10796,216.068
10825,215.955
10885,215.872
10916,215.831
10917,215.798
10941,215.677
10971,215.622
11035,215.582
11037,215.522
11061,215.215
11122,215.077
11153,215.022
11155,214.968
11210,214.818
11241,214.808
11242,214.803
11247,214.761
11300,214.719
11333,214.403
11335,214.399
11390,214.236
11547,214.156
11601,214.133
11638,214.066
11695,214.029
11696,213.963
11697,213.953
11725,213.853
11816,213.489
11873,213.415
11905,213.356
11931,213.337
11932,213.288
11959,213.166
11962,212.835
11963,212.763
11965,212.342
11995,212.241
12026,211.944
12056,211.381
12116,211.288
12205,210.784
12206,210.765
12235,210.744
12236,210.566
12298,210.234
12328,210.229
12356,210.221
12357,210.023
12418,209.941
12475,209.635
12565,209.608
12566,209.506
12656,209.49
12658,209.488
12746,209.423
12748,209.388
12806,209.316
12836,209.282
12865,209.235
12866,209.214
12928,209.18
12952,209.101
13012,209.036
13045,209.005
13048,208.887
13107,208.647
13138,208.345
13254,208.332
13258,208.025
13314,208.002
13315,207.191
13436,207.176
13463,207.08
13525,207.047
13527,206.893
13528,206.59
13558,206.568
13613,206.441
13615,206.298
13644,206.29
13672,206.161
13674,206.096
13676,205.809
13678,205.669
13797,205.649
13827,205.568
13888,205.538
13911,205.368
13912,205.324
13913,205.072
13914,204.85
13946,204.757
13947,204.415
13975,204.089
14036,204.017
14038,203.518
14096,203.171
14215,203.17
14276,203.067
14278,203.064
14360,202.687
14428,202.527
14457,202.471
14544,202.456
14545,202.327
14663,202.248
14721,202.15
14723,202.046
14725,202.021
14785,201.982
14847,201.944
14877,201.887
14908,201.791
14967,201.764
14968,201.728
