Evaluations,Fitness
1,3.97788e+09
2,3.08927e+09
4,1.1621e+09
5,7.76887e+08
15,6.92268e+08
71,6.50918e+08
74,3.54561e+08
94,3.15988e+08
145,2.12646e+08
203,2.08621e+08
286,1.77173e+08
378,1.73832e+08
414,1.68457e+08
496,1.59991e+08
588,1.54896e+08
646,1.53363e+08
654,1.51686e+08
743,1.47392e+08
749,1.32112e+08
853,1.27416e+08
946,1.25395e+08
948,1.15288e+08
978,1.13517e+08
1009,1.09167e+08
1032,1.05947e+08
1061,1.00846e+08
1212,9.08558e+07
1452,8.81404e+07
1539,8.79419e+07
1569,8.07482e+07
1691,7.88998e+07
1947,7.28971e+07
2021,7.18901e+07
2022,7.01147e+07
2051,6.87475e+07
2052,6.68672e+07
2232,6.42543e+07
2262,6.40987e+07
2263,6.36868e+07
2292,6.27212e+07
2321,6.08267e+07
2351,6.01544e+07
2353,5.95641e+07
2382,5.8945e+07
2412,5.80805e+07
2469,5.76831e+07
2471,5.72761e+07
2472,5.63384e+07
2501,5.57653e+07
2502,5.56921e+07
2559,5.54569e+07
2589,5.48643e+07
2653,5.40712e+07
2742,5.32596e+07
2891,5.30758e+07
2892,5.2396e+07
2921,5.2216e+07
2951,5.17358e+07
2953,5.16151e+07
2982,5.11949e+07
3043,5.08506e+07
3069,5.04131e+07
3102,4.97364e+07
3127,4.94248e+07
3157,4.84422e+07
3194,4.8321e+07
3222,4.81591e+07
3253,4.76518e+07
3433,4.76381e+07
3463,4.7518e+07
3759,4.717e+07
3820,4.69097e+07
3996,4.57969e+07
4027,4.56068e+07
4029,4.52269e+07
4121,4.50751e+07
4148,4.50319e+07
4209,4.43119e+07
4268,4.41621e+07
4297,4.38522e+07
4298,4.36017e+07
4510,4.35724e+07
4541,4.32987e+07
4777,4.31662e+07
4807,4.31593e+07
4844,4.25852e+07
4961,4.25316e+07
5024,4.21645e+07
5046,4.20034e+07
5108,4.17501e+07
5109,4.15144e+07
5168,4.08605e+07
5169,4.04765e+07
5172,3.99444e+07
5202,3.87978e+07
5264,3.86286e+07
5292,3.82456e+07
5412,3.76959e+07
5650,3.76458e+07
5680,3.75616e+07
5832,3.74706e+07
5920,3.72391e+07
5952,3.71947e+07
5980,3.71318e+07
5982,3.70822e+07
6012,3.70698e+07
6100,3.70205e+07
6102,3.69618e+07
6104,3.681e+07
6160,3.63921e+07
6191,3.63467e+07
6220,3.61082e+07
6250,3.60481e+07
6284,3.5766e+07
6432,3.57138e+07
6489,3.56928e+07
6491,3.55403e+07
6516,3.55324e+07
6519,3.49804e+07
6579,3.48607e+07
6609,3.48327e+07
6698,3.47151e+07
6726,3.44309e+07
6878,3.38096e+07
7030,3.36044e+07
7146,3.34697e+07
7148,3.32812e+07
7238,3.3098e+07
7242,3.28001e+07
7301,3.25939e+07
7303,3.23747e+07
7388,3.21836e+07
7419,3.19555e+07
7451,3.18945e+07
7476,3.16464e+07
7628,3.15231e+07
7661,3.13493e+07
7782,3.11953e+07
7842,3.11434e+07
8047,3.08867e+07
8228,3.08239e+07
8318,3.0728e+07
8347,3.06005e+07
8348,3.04854e+07
8435,3.04437e+07
8609,3.03645e+07
8636,3.01296e+07
8637,3.01223e+07
8640,2.98733e+07
8668,2.97914e+07
8698,2.97758e+07
8699,2.963e+07
8757,2.94738e+07
8787,2.94471e+07
8815,2.93451e+07
8817,2.93019e+07
8939,2.92111e+07
9006,2.90647e+07
9065,2.88678e+07
9098,2.88335e+07
9128,2.8679e+07
9147,2.86656e+07
9158,2.85571e+07
9207,2.85258e+07
9360,2.8376e+07
9475,2.83691e+07
9481,2.80077e+07
9781,2.79658e+07
9930,2.79247e+07
10002,2.78733e+07
10032,2.78602e+07
10081,2.78242e+07
10140,2.77263e+07
10141,2.7609e+07
10171,2.75708e+07
10200,2.75312e+07
10319,2.75096e+07
10349,2.74421e+07
10439,2.73262e+07
10469,2.72177e+07
10589,2.71739e+07
10680,2.7153e+07
10681,2.70984e+07
10890,2.70807e+07
10892,2.70686e+07
10918,2.70197e+07
10975,2.68659e+07
11097,2.67667e+07
11128,2.66882e+07
11155,2.6678e+07
11160,2.64673e+07
11336,2.64374e+07
11365,2.63957e+07
11368,2.63426e+07
11395,2.6291e+07
11396,2.62498e+07
11397,2.61851e+07
11430,2.60583e+07
11521,2.58275e+07
11731,2.57987e+07
11851,2.56966e+07
11852,2.55526e+07
11881,2.55011e+07
11912,2.5328e+07
12241,2.53238e+07
12242,2.53147e+07
12295,2.52198e+07
12325,2.51429e+07
12356,2.49454e+07
12479,2.47319e+07
12508,2.46607e+07
12597,2.4281e+07
12657,2.42804e+07
12866,2.42572e+07
12925,2.42005e+07
12986,2.41201e+07
13016,2.40619e+07
13045,2.40444e+07
13075,2.40221e+07
13077,2.39447e+07
13106,2.37182e+07
13166,2.36998e+07
13167,2.36829e+07
13196,2.36323e+07
13286,2.36241e+07
13289,2.35891e+07
13290,2.35778e+07
13349,2.34082e+07
13379,2.32862e+07
13467,2.31966e+07
13496,2.31471e+07
13705,2.28848e+07
13855,2.28802e+07
13886,2.28448e+07
13916,2.27937e+07
13947,2.27298e+07
14155,2.27048e+07
14186,2.26873e+07
14276,2.26753e+07
14305,2.26498e+07
14335,2.25822e+07
14459,2.24768e+07
14518,2.24422e+07
14522,2.23195e+07
14580,2.23039e+07
14642,2.22434e+07
14672,2.22344e+07
14762,2.21889e+07
14792,2.21522e+07
14912,2.21189e+07
14938,2.20949e+07
14944,2.20859e+07
14968,2.19609e+07
14999,2.18978e+07
15000,2.17223e+07
