Evaluations,Fitness
1,3174.11
2,2988.3
3,2883.29
4,2536.1
12,2495.51
26,2448.31
29,2147.88
32,2123.23
34,2118.2
48,1688.44
121,1530.66
175,1448.5
244,1246.1
272,1193.46
304,991.47
332,962.547
481,896.814
484,891.485
514,884.082
595,845.59
616,822.108
623,714.321
651,700.593
655,670.741
683,654.739
764,552.275
856,539.318
962,448.167
1144,441.648
1188,427.257
1221,384.255
1222,355.49
1281,346.288
1282,335.902
1340,322.356
1431,295.821
1514,269.287
1576,266.694
1632,230.486
1662,214.994
1813,204.461
1844,187.63
1929,165.595
1993,150.869
2047,135.941
2228,130.878
2233,129.817
2290,128.683
2323,113.288
2324,105.606
2356,96.5961
2446,84.1726
2593,76.4133
2834,73.6271
2984,72.2826
3044,71.6939
3045,70.1645
3107,66.599
3135,65.7857
3163,65.2447
3164,63.7508
3284,63.5724
3314,61.5295
3374,59.0632
3377,54.75
3437,54.3995
3497,52.6365
3501,52.2646
3555,51.6746
3611,50.5717
3637,49.9454
3647,49.3998
3679,48.6837
3680,47.8435
3701,47.3917
3796,44.046
3844,40.4017
3975,39.0208
3993,38.8182
4074,37.3244
4076,35.6463
4170,31.8053
4248,31.4011
4306,31.2224
4319,28.3234
4388,27.9956
4390,25.8874
4391,25.4711
4437,24.9205
4542,22.8618
4588,20.6761
4782,20.6583
4809,20.5623
4810,20.4313
4837,18.3443
4856,18.0067
4893,15.084
4990,14.9607
5105,13.3269
5135,13.2448
5195,13.0929
5285,12.0727
5586,11.6956
5587,11.5692
5626,11.2156
5733,10.7252
5734,10.692
5735,10.3392
5737,10.0027
5739,9.83619
5766,9.3802
5827,9.15588
5915,8.89764
5948,8.52694
6117,8.31051
6147,8.14969
6164,8.14569
6200,7.4417
6201,7.42276
6290,7.33788
6350,7.09529
6431,7.00438
6496,6.8457
6587,6.74703
6637,6.10546
6647,5.9881
6708,5.71593
6792,5.68694
6795,5.67746
6831,5.60217
6887,5.58048
6909,5.39389
6937,5.17635
6984,4.22175
7102,4.16506
7135,4.16334
7165,4.07148
7252,4.05515
7255,4.01987
7282,3.99691
7315,3.9535
7316,3.92739
7375,3.62313
7403,3.57929
7431,3.52124
7645,3.44947
7733,3.42295
7791,3.37526
7912,3.31009
7916,3.27568
7935,3.1881
7996,3.18604
8002,3.15067
8055,3.14487
8058,3.03489
8121,2.93914
8143,2.92597
8171,2.73376
8203,2.72703
8324,2.71143
8325,2.70381
8340,2.65788
8372,2.60979
8397,2.60126
8440,2.51365
8500,2.49909
8528,2.41035
8558,2.39517
8648,2.37621
8711,2.31216
8740,2.2666
8841,2.24857
8861,2.2453
8872,2.21283
8986,2.12305
9013,2.12152
9076,2.09672
9079,2.00434
9201,1.92962
9286,1.88497
9315,1.87454
9434,1.76041
9608,1.70529
9643,1.67974
9761,1.64815
9818,1.60507
9879,1.55413
9998,1.55313
10046,1.52089
10087,1.50384
10135,1.49476
10298,1.49439
10300,1.46683
10346,1.45947
10392,1.43073
10515,1.41868
10543,1.40591
10605,1.38409
10635,1.36142
10695,1.34524
10818,1.34513
10854,1.33995
10877,1.31922
10907,1.31764
10997,1.30866
11245,1.30231
11263,1.25808
11266,1.25241
11295,1.25192
11334,1.24351
11478,1.23726
11501,1.22314
11634,1.20406
11729,1.1897
11877,1.17711
11995,1.17636
12028,1.1645
12058,1.16159
12146,1.15907
12150,1.15518
12188,1.13921
12278,1.13868
12308,1.12794
12309,1.11761
12452,1.11167
12489,1.11024
12630,1.10927
12663,1.10559
12725,1.09932
12730,1.09249
12731,1.08659
12879,1.08658
12943,1.08582
12944,1.08403
12945,1.08132
13005,1.07735
13108,1.07389
13168,1.07047
13196,1.07026
13200,1.0658
13228,1.06393
13285,1.06306
13346,1.05963
13377,1.05428
13509,1.05101
13547,1.04976
13598,1.04332
13601,1.0388
13719,1.03752
13811,1.03657
13869,1.03512
13898,1.03435
13926,1.03305
13931,1.03226
14044,1.03131
14046,1.02357
14104,1.01913
14134,1.01677
14166,1.01662
14167,0.98697
14225,0.982312
14286,0.975869
14319,0.966608
14344,0.956855
14501,0.928439
14718,0.916026
14808,0.914984
14865,0.891936
14910,0.870851
