Evaluations,Fitness
1,1.31092e+09
13,8.45441e+08
62,4.18871e+08
149,2.84563e+08
330,2.40433e+08
402,2.3453e+08
436,2.11479e+08
465,1.83434e+08
554,1.80512e+08
614,1.72642e+08
704,1.59712e+08
820,1.53182e+08
970,1.34484e+08
1239,1.32458e+08
1247,1.25413e+08
1546,1.23886e+08
1608,1.23037e+08
1638,1.2125e+08
1669,1.15566e+08
1869,1.14751e+08
1991,1.09926e+08
2288,1.06322e+08
2469,1.0449e+08
2621,1.04465e+08
2712,1.01906e+08
2832,1.00328e+08
2838,9.79512e+07
2890,9.75951e+07
2897,9.64093e+07
2918,9.61314e+07
2988,9.555e+07
3016,9.19143e+07
3018,9.0967e+07
3200,8.93999e+07
3439,8.92972e+07
3469,8.84195e+07
3555,8.66977e+07
3557,8.59134e+07
3585,8.416e+07
3587,8.26069e+07
3615,8.10046e+07
3857,8.0848e+07
3858,7.71657e+07
3887,7.68358e+07
3918,7.61873e+07
3975,7.54018e+07
4038,7.48199e+07
4067,7.48045e+07
4126,7.2978e+07
4279,7.28202e+07
4338,7.27346e+07
4368,7.21364e+07
4398,7.20787e+07
4456,7.01308e+07
4485,6.95673e+07
4664,6.89148e+07
4666,6.8403e+07
4668,6.80871e+07
4726,6.66687e+07
4758,6.64474e+07
4815,6.62983e+07
4849,6.55343e+07
5028,6.45521e+07
5473,6.25278e+07
5475,6.06013e+07
5566,5.98694e+07
5714,5.94504e+07
5926,5.90571e+07
6073,5.90447e+07
6077,5.87239e+07
6106,5.85808e+07
6134,5.8413e+07
6163,5.82911e+07
6166,5.81758e+07
6256,5.79153e+07
6376,5.78881e+07
6377,5.78766e+07
6382,5.76806e+07
6407,5.7527e+07
6496,5.74878e+07
6526,5.73902e+07
6556,5.73051e+07
6584,5.72707e+07
6586,5.71769e+07
6617,5.71016e+07
6683,5.61257e+07
6891,5.53561e+07
6980,5.50806e+07
7252,5.50292e+07
7281,5.49792e+07
7282,5.48208e+07
7400,5.4743e+07
7550,5.4584e+07
7552,5.45268e+07
7640,5.44806e+07
7754,5.44616e+07
7783,5.43919e+07
7873,5.42438e+07
7879,5.41867e+07
7905,5.40883e+07
7935,5.40143e+07
7965,5.40089e+07
7995,5.37295e+07
8054,5.36384e+07
8145,5.35133e+07
8233,5.34783e+07
8264,5.3292e+07
8265,5.28665e+07
8266,5.28113e+07
8415,5.26629e+07
8443,5.26567e+07
8533,5.2646e+07
8565,5.25641e+07
8567,5.2541e+07
8597,5.22253e+07
8955,5.19029e+07
8987,5.18451e+07
9013,5.17991e+07
9017,5.17672e+07
9044,5.16957e+07
9075,5.15001e+07
9135,5.14256e+07
9164,5.11911e+07
9254,5.10791e+07
9404,5.10715e+07
9615,5.0942e+07
9764,5.09254e+07
9793,5.08214e+07
9794,5.07952e+07
9854,5.07811e+07
9913,5.07743e+07
9944,5.07666e+07
10003,5.06367e+07
10033,5.0599e+07
10123,5.05945e+07
10125,5.05528e+07
10156,5.03905e+07
10214,5.03318e+07
10243,5.01602e+07
10244,5.01257e+07
10273,5.0115e+07
10274,4.99641e+07
10393,4.99328e+07
10425,4.99284e+07
10453,4.99064e+07
10454,4.97885e+07
10489,4.96272e+07
10640,4.95901e+07
10725,4.95012e+07
10732,4.90584e+07
10880,4.90353e+07
10970,4.89458e+07
11113,4.89405e+07
