Evaluations,Fitness
1,370595.676321
2,243237.580588
21,215846.937938
34,214045.718020
81,198915.736672
122,173723.063164
151,170420.796482
179,135103.792948
207,134847.545481
239,120623.568546
270,108628.595006
386,103181.206271
387,100931.238930
449,98759.398354
451,82620.849312
509,78383.634704
537,77280.689666
569,64592.353887
597,56705.558153
657,51268.115881
719,48815.805951
749,47422.125395
810,46256.314577
899,46137.204049
925,44548.607389
927,42325.019008
987,42067.454903
991,40231.737399
1052,37934.570832
1081,34291.238220
1144,33026.723864
1199,32404.126387
1212,31958.980443
1229,31480.196380
1304,30542.878544
1409,28843.443728
1424,27458.359225
1454,26163.695110
1593,26064.958638
1645,25801.803799
1656,23339.965146
1770,22677.614093
1802,21045.219033
1826,21015.310217
1864,18714.219901
1944,18561.377228
1981,16860.698844
2113,15189.879024
2287,14784.709478
2381,14360.723815
2405,14161.183059
2438,13736.489862
2465,13035.391656
2493,11830.019367
2645,11787.600275
2675,11578.634703
2677,11144.766371
2681,10364.284156
2771,9875.106355
2773,9711.553853
2872,9680.238786
2955,8182.965304
3134,7982.987351
3135,7905.748175
3137,7284.952138
3254,6441.874942
3283,6246.140561
3372,5602.434481
3374,5326.673029
3464,5216.969332
3705,5070.637029
3713,4956.562302
3745,4901.685633
3749,4712.085392
3806,4632.395079
3832,4399.336821
3867,3971.694597
4115,3907.166326
4137,3844.192864
4244,3700.645733
4265,3607.473667
4336,3555.336945
4395,3446.756684
4396,3315.670716
4493,2520.308413
4732,2484.776785
4758,2433.429176
4852,2403.140408
4878,2301.629359
5028,2213.913327
5043,2074.779926
5122,2067.115931
5186,1939.739296
5264,1938.376978
5266,1775.948879
5358,1733.379603
5415,1671.645810
5536,1519.331538
5569,1438.544058
5604,1425.335340
5677,1418.891435
5708,1374.799295
5740,1154.849647
5742,1035.252119
5984,1033.560674
6009,1025.801592
6012,980.116392
6033,975.835489
6046,968.716613
6136,934.587045
6187,928.228178
6211,878.053885
6250,802.932867
6448,743.963600
6489,723.622969
6522,697.428992
6595,689.523390
6603,657.075707
6656,650.198104
6666,650.120117
6669,630.752920
6702,608.827661
6736,544.807230
6771,470.191038
6921,443.497262
7197,402.211672
7242,395.185182
7303,384.983291
7335,378.637463
7393,360.221577
7421,359.147393
7540,345.323752
7599,320.033860
7630,318.613472
7635,301.040271
7753,285.701964
7810,285.638234
7846,279.677380
7871,276.879198
7872,269.811475
7875,254.633968
7946,211.968407
8068,198.496132
8115,196.327222
8116,191.469955
8117,185.726577
8206,168.941895
8234,160.754083
8324,158.019126
8326,155.956239
8413,152.568520
8416,147.022725
8504,146.048570
8505,145.003874
8649,133.562879
8651,120.763546
8743,110.675882
8803,108.514126
8804,104.449562
8923,100.028649
9013,99.006891
9015,98.862769
9069,96.714248
9097,94.135809
9254,89.614322
9283,87.003789
9340,86.950384
9411,83.843466
9439,76.357295
9492,75.436336
9494,73.156482
9520,72.915225
9548,71.016535
9578,69.763779
9669,68.781575
9700,67.727674
9758,63.307703
9826,60.268463
9968,56.829721
10052,51.584801
10190,47.360900
10198,45.382417
10204,45.353777
10267,40.902919
10366,39.125070
10452,38.386416
10456,38.359300
10471,37.606456
10512,37.521337
10538,36.118008
10601,35.062761
10628,34.500192
10630,32.527688
10668,31.348252
10772,28.841301
10860,27.744434
10890,27.478164
10980,27.092124
11060,27.041872
11070,26.649374
11088,23.468909
11241,22.632529
11279,21.920928
11351,21.292130
11372,19.293523
11399,18.790404
11464,15.173485
11522,14.975485
11700,14.826200
11705,14.365751
11827,14.321270
11852,13.917371
11855,13.115497
11856,13.101886
11922,12.201543
11985,11.613913
12076,10.461924
12136,9.196256
12403,9.191606
12430,9.145198
12439,9.046176
12528,9.023929
12529,7.882243
12591,7.421382
12791,7.136722
12831,6.812151
12859,6.708656
12918,6.458683
12919,6.335021
12949,5.846906
13007,5.592635
13038,5.364318
13053,5.166023
13067,5.082620
13143,5.010811
13256,4.971472
13304,4.539875
13407,4.509887
13440,4.054602
13601,4.030606
13603,3.945964
13605,3.647197
13755,3.397223
13812,3.248527
13813,2.889910
13872,2.721486
14106,2.556524
14174,2.554991
14251,2.539355
14260,2.529359
14313,2.518922
14316,2.484962
14320,2.087123
14321,1.890947
14433,1.799671
14442,1.784688
14500,1.776062
14562,1.765476
14590,1.528930
14817,1.492244
14823,1.464086
14832,1.437155
14982,1.423139
