Evaluations,Fitness
1,6102946.350347
2,5253296.781655
15,5047430.675203
22,4941253.323626
29,4734401.901251
31,4553255.769524
42,4183515.375172
52,4100311.281612
75,3550931.382004
95,3238345.906112
100,2770942.154477
101,2768604.161472
182,2119499.462620
214,2115241.748932
216,2021216.802131
305,1879750.948851
392,1673709.658742
393,1634656.005717
399,1429958.439081
601,1299293.546710
701,1146109.604178
732,1035864.375231
851,981120.905637
932,968150.986623
936,836200.815430
998,781555.251375
1027,730068.263622
1054,674440.976970
1172,610180.519411
1412,583937.509259
1414,568300.651660
1448,553601.021322
1508,512164.459100
1630,503878.422516
1702,417827.306904
1974,395265.094562
2018,348073.577652
2167,346665.304792
2170,326713.410394
2261,314925.398826
2287,314467.931275
2317,313235.085898
2318,310586.353146
2379,309921.303185
2407,306219.130367
2468,302598.831506
2618,297020.075949
2619,289791.461795
2677,288940.060800
2678,272357.982144
2694,261605.579689
2705,255365.232682
2803,244415.330999
2881,243569.403284
2882,242373.318868
2921,230459.482335
2939,225845.031980
2968,225029.673548
3003,221877.899740
3026,215331.986050
3088,200672.625357
3237,197928.111271
3239,195077.144346
3286,191382.207947
3345,186015.041044
3378,171574.288745
3380,155204.589849
3381,154073.911542
3440,149669.406266
3533,137342.102399
3628,133481.692215
3657,125445.948570
3658,114386.548749
3807,111277.395807
3834,110250.297641
3837,107506.899000
3860,107238.088388
3869,106716.728036
3920,101341.992081
3980,96030.896809
3988,92086.765798
4019,89045.849859
4079,81135.130283
4108,78228.796064
4230,74585.457774
4260,72642.936739
4350,69453.983190
4379,69337.691329
4437,64146.626625
4497,62118.789989
4528,59081.493516
4558,59037.528081
4616,57888.000185
4646,56442.935861
4648,52897.856650
4736,52626.209129
4738,51559.480843
4740,49062.764398
4802,48344.627136
4888,47091.008659
5005,43825.963396
5035,42691.783691
5095,41746.228398
5129,38614.949315
5159,36224.458537
5162,35441.433552
5190,34585.783326
5311,33456.160080
5368,32008.880061
5457,31718.216312
5459,31635.910087
5519,31135.712384
5549,30950.702521
5611,30546.265226
5639,29582.775759
5643,29123.167504
5757,28294.769116
5785,26770.430908
5814,26415.730373
5817,25130.809571
5843,24230.822118
5904,22678.254368
5994,22220.844242
6143,21272.797759
6172,20071.463241
6292,19470.911739
6322,18879.853900
6383,18436.396812
6385,17883.386819
6386,17849.039723
6418,17757.977904
6446,16579.066466
6475,16214.429717
6503,15660.246335
6561,15582.249942
6592,14855.811340
6596,14527.444175
6673,14382.848651
6742,14242.676780
6745,14237.067427
6765,13740.548573
6903,13668.314692
6935,13408.042287
6963,13184.419519
6975,13166.069495
6991,12698.916332
6996,12618.291543
7019,10019.277930
7197,9820.632492
7264,9163.425474
7265,8808.690427
7266,8692.301530
7325,8165.887984
7503,7794.728642
7650,7687.265556
7674,7021.840987
7706,6548.080669
7736,6080.942394
7828,5498.541874
7860,5217.743032
8007,5210.803660
8008,5153.389227
8067,4993.796963
8128,4931.665676
8158,4921.331210
8233,4811.512077
8331,4774.387084
8354,4679.279531
8384,4610.387835
8386,4355.235394
8545,3893.441901
8590,3481.941568
8620,3347.564760
8798,3062.028750
8832,3059.406973
8924,3013.203870
8925,2817.664030
8927,2706.256121
9047,2700.388524
9058,2595.485313
9059,2454.137711
9060,2367.973737
9163,2309.017031
9179,2270.214559
9286,2201.031159
9313,2141.225971
9372,2109.854904
9433,2085.473870
9460,1991.560722
9520,1952.494799
9583,1877.966759
9609,1863.316259
9645,1823.109363
9691,1769.623261
9692,1660.393125
9829,1659.016282
9901,1657.011064
9960,1653.680311
9991,1633.990199
9993,1618.214283
10005,1492.917184
10124,1453.200872
10157,1427.903398
10159,1424.834370
10187,1405.749719
10361,1397.299355
10403,1369.312751
10407,1321.332385
10488,1320.591343
10529,1273.592998
10570,1181.423037
10571,1177.135202
10625,1176.614651
10688,1167.880774
10691,1087.281525
10770,1070.660658
10774,1003.607362
10835,1002.058812
10861,969.614291
10863,940.776681
10864,935.509850
10951,908.728327
10985,891.322993
11013,826.494381
11071,703.214680
11101,692.592112
11102,669.193252
11191,653.391159
11312,642.362340
11405,618.953824
11435,612.528075
11443,578.829525
11445,548.904014
11564,518.757137
11594,479.187917
11742,446.041773
11871,444.641110
11924,429.350433
11986,423.331217
12016,420.817713
12018,413.562941
12042,404.399205
12106,400.248137
12132,392.079113
12189,349.556925
12192,323.815026
12403,320.146901
12428,301.572772
12579,283.674386
12643,278.589257
12731,276.041767
12736,266.296749
12750,250.232757
12945,247.977594
12949,216.884084
12954,194.345648
13105,189.478540
13342,185.860534
13372,182.349992
13458,182.263557
13460,167.232699
13572,166.505215
13593,144.974138
13650,136.575006
13772,134.683118
13820,128.130383
13870,127.790141
13871,122.581269
13881,120.343403
13910,119.109264
13998,118.164248
14030,115.498334
14082,104.013470
14125,91.149201
14176,89.315855
14212,86.565609
14237,84.820563
14241,77.516095
14302,74.492686
14382,71.906853
14393,71.225567
14534,70.420021
14543,68.918610
14571,64.486356
14599,63.953587
14600,62.828481
14694,61.527542
14744,59.812322
14833,59.080635
14913,55.633829
14973,52.131265
