Evaluations,Fitness
1,[3.85822331]
19,[2.90142665]
28,[0.67369701]
33,[0.5889074]
71,[0.41694923]
437,[0.4168752]
473,[0.4053348]
486,[0.4027825]
671,[0.40045791]
941,[0.39981392]
1035,[0.39884912]
1181,[0.39795504]
1455,[0.39789873]
1562,[0.39789767]
1695,[0.39789389]
1875,[0.39789335]
1925,[0.39789248]
2056,[0.39788758]
2072,[0.39788748]
2892,[0.39788743]
2918,[0.39788741]
3125,[0.39788737]
3266,[0.39788737]
3428,[0.39788736]
4388,[0.39788736]
4478,[0.39788736]
4538,[0.39788736]
4748,[0.39788736]
4808,[0.39788736]
5115,[0.39788736]
5205,[0.39788736]
5445,[0.39788736]
5986,[0.39788736]
6136,[0.39788736]
6166,[0.39788736]
6196,[0.39788736]
6692,[0.39788736]
6765,[0.39788736]
6856,[0.39788736]
6886,[0.39788736]
6975,[0.39788736]
