Evaluations,Fitness
1,[3147.31583374]
4,[361.50783059]
5,[102.76509286]
13,[69.0903536]
17,[24.38510732]
64,[12.89392691]
120,[8.90263738]
126,[5.06121784]
139,[3.69805597]
308,[3.2669368]
449,[3.12913756]
550,[3.04240616]
570,[3.03024938]
610,[3.02179986]
745,[3.00863801]
790,[3.00674018]
797,[3.00041815]
1109,[3.00012032]
1324,[3.00000154]
2205,[3.00000119]
2295,[3.00000042]
2445,[3.00000029]
2639,[3.00000025]
2685,[3.00000022]
2695,[3.00000015]
2715,[3.00000014]
2785,[3.00000013]
2985,[3.00000003]
3105,[3.00000002]
3326,[3.00000001]
3525,[3.]
3585,[3.]
3835,[3.]
4578,[3.]
4609,[3.]
4892,[3.]
5785,[3.]
6295,[3.]
6445,[3.]
6505,[3.]
6618,[3.]
6658,[3.]
6685,[3.]
7498,[3.]
7698,[3.]
8341,[3.]
8405,[3.]
9869,[3.]
12689,[3.]
