Evaluations,Fitness
1,[342.24106905]
5,[91.71230122]
7,[-0.81605203]
65,[-0.99981001]
165,[-1.01856699]
338,[-1.01978366]
353,[-1.02270065]
354,[-1.02901996]
620,[-1.03016326]
650,[-1.03060079]
657,[-1.03137654]
770,[-1.03139305]
860,[-1.03160753]
950,[-1.03161921]
980,[-1.03162744]
1400,[-1.03162746]
1520,[-1.03162769]
1730,[-1.03162798]
1910,[-1.03162798]
1970,[-1.03162802]
2120,[-1.03162813]
2221,[-1.03162823]
2667,[-1.0316283]
2680,[-1.03162836]
2800,[-1.03162841]
2847,[-1.03162842]
2863,[-1.03162843]
2950,[-1.03162845]
3040,[-1.03162845]
3220,[-1.03162845]
3310,[-1.03162845]
3400,[-1.03162845]
3535,[-1.03162845]
3917,[-1.03162845]
3955,[-1.03162845]
4150,[-1.03162845]
4887,[-1.03162845]
5188,[-1.03162845]
5278,[-1.03162845]
5337,[-1.03162845]
6147,[-1.03162845]
6237,[-1.03162845]
10748,[-1.03162845]
