"Evaluations","Fitness"
1,2971.19975075538
5,2806.69317970767
6,2728.32855143215
9,2593.56053268794
11,2288.48607791523
37,2161.59608573033
58,2032.10832866809
183,2030.0576770788
558,2024.45462357379
936,2022.55706495827
2695,2021.46395820176
3576,2016.35155507293
4076,1943.90637753391
7213,1932.41297956281
8740,1898.65423182846
9618,1885.94658023539
10118,1806.35199749647
11496,1798.31501841971
11874,1781.99346089627
13109,1778.48118826128
13487,1761.94321515757
14651,1579.41075333857
15029,1452.28622240154
16169,1442.64060580548
18309,1440.99229404403
20065,1379.0871915942
20443,1378.94653124968
21586,1360.77192728085
22086,1357.87150183305
25988,1344.81234891267
26488,1334.93295525195
27247,1326.88552849684
27747,1321.780170641
29265,1320.41067164046
31265,1320.12318464873
33399,1305.32377256524
34399,1264.25924187545
36801,1264.20693944469
38569,1262.95922162523
39492,1212.33961042921
39876,1208.7436557249
41260,1204.2328841928
42099,1201.34299475697
42599,1200.26954403428
42641,1198.64409315415
43022,1179.27143794378
43522,1173.13647941558
44022,1152.65740683941
44522,1123.69837084491
46162,1118.85868771718
46540,1115.84178912702
47040,1115.12776983343
47376,1109.38821973476
47757,1104.25244970694
48257,1102.91729481543
48799,1062.19474210696
49177,1059.26518741805
49555,1059.14189251012
49933,1058.23726982018
