"Evaluations","Fitness"
1,-0.0558166115446412
2,-0.0945924336330635
3,-3.26553115141833
20,-3.62635913128299
217,-3.72849147011727
427,-3.85613832587018
2564,-3.86022451175098
6348,-3.86241284699527
9744,-3.86243828837842
9809,-3.86256615367119
11500,-3.86260807727756
16161,-3.86276314999979
22203,-3.86276407926658
23459,-3.86276640540178
24718,-3.86276944746896
25980,-3.86277174563287
27310,-3.86277559512835
29158,-3.86277726470582
32051,-3.86277741834877
33810,-3.86277747435965
34724,-3.86277875030385
36232,-3.86277883347329
37007,-3.86277900919376
38067,-3.86277948877688
40960,-3.86277956178158
42719,-3.86277962748367
43475,-3.86277963189898
43853,-3.8627796447969
43878,-3.86277965833924
44734,-3.86277973312682
50148,-3.86277978467068
