"Evaluations","Fitness"
1,2256970.46959533
2,1913937.19061033
20,1669195.62989482
22,1091938.2676938
50,1087227.77324149
67,1052764.34927676
73,532751.051868947
198,474017.502715931
1573,463470.166165261
1957,457831.485984617
4094,434530.962993709
6728,407854.319520006
8763,377747.722911247
9641,323382.885551356
11397,321167.287500914
12275,312894.06104896
12653,306707.081562145
14290,292967.615527852
15433,287708.851663151
18204,285309.113625894
20097,274613.816120042
34696,271988.305414253
37330,271704.176907265
37711,268669.910408802
38211,268646.851111553
39089,266254.457518076
40226,265852.917561081
41982,259233.474128669
42863,255579.624942008
