"Evaluations","Fitness"
1,267592.373507835
7,241742.65875726
8,238567.793831373
36,234626.883364712
93,221355.699556053
94,217538.723387636
1240,217190.740987684
2121,214147.237997623
2621,213914.269369326
3005,211132.539180771
3383,210054.769857008
3761,207092.147299312
4145,206952.789608519
4523,206419.018317344
5401,204765.810391873
6160,204470.922101776
6660,200990.315720181
7160,199634.964021843
7494,196026.305536695
9128,194454.536634058
9890,193739.755197778
10390,193259.87742136
11768,187011.635897249
12268,184683.87368507
13268,181829.639669506
13646,181391.17225913
14024,181378.034545008
15280,178887.330514143
15658,178866.781547317
16420,170452.573206208
17298,169780.825194452
17798,169776.693170403
18557,166788.713945475
18938,166187.803272725
19316,165530.485506402
20453,150017.681580851
21334,149972.461092868
21712,147144.420434809
22096,146758.720218887
24114,143527.132629308
24492,143195.240716687
24870,141076.289491223
26507,140677.290961809
26885,139752.184759462
27266,139732.217456737
28028,139624.758735892
28912,139240.233936384
29790,134451.923933175
30171,134402.001601395
32305,132465.102994872
33561,128716.46450939
34061,128371.093856782
34939,124872.95751064
35701,124702.416478908
36082,123710.139875711
36460,121555.732133933
36847,121472.570283255
38228,120929.370009274
39865,120860.725669929
42642,120838.110990704
43020,120833.927606884
44401,120020.832966927
44471,118982.912756618
44849,112481.427232849
45230,111977.726234964
45608,111972.505687778
46867,111926.966976616
47245,111665.155158863
47626,111595.574473265
48004,111512.045971612
48885,111470.311832033
