"Evaluations","Fitness"
1,3297.71433499699
2,2494.01530112836
15,2282.09478571141
18,2221.04150308387
43,2007.12564768683
51,1985.84200735647
294,1845.83728722607
663,1675.65015139947
810,1618.05410450797
1003,1556.47799236527
1072,1464.36714124995
1075,1451.79115400604
1380,1368.44277881019
1609,1216.92124839441
1840,1090.01515495624
1976,1065.32496337734
2171,1051.53504363142
2396,1008.4684338185
2434,986.621464356839
2609,962.734575773864
2621,930.229437542849
2797,915.286684504161
2841,904.298248388698
3025,885.849766213629
3028,884.655798242672
3033,868.725756363172
3037,863.732037430797
3180,833.73885245747
3184,744.621612601396
3382,724.129823921567
3551,673.690512935702
4152,608.911698968057
4527,589.845638267028
4748,587.664238634019
4776,559.81137394472
4802,543.981356294033
4939,501.20364646684
5337,495.693675539498
5387,462.545062634125
5539,406.118698449833
5706,391.831008452392
6099,376.252021814235
6356,373.610976628068
6513,351.037354462224
6696,347.272555819291
6870,337.396650997048
6916,327.833488822056
6926,326.262577881798
7101,316.74647598912
7285,315.466777019007
7472,300.157154429984
7477,290.027702736197
7864,273.411525758682
7911,256.512274648001
8295,243.637547927366
8873,240.994024390038
8902,240.07104657089
8905,229.782575289341
8917,229.10157184585
9248,219.633025040255
9690,215.553831895285
10210,215.0856538646
10211,214.41468144468
10233,213.862706497497
10239,212.928464881779
10426,211.198016276847
10450,207.98000299137
10592,196.938141294644
11002,196.141083752261
11241,193.999191406453
11457,193.995260755079
11598,193.663908514936
11783,193.64589954161
11803,192.426102497124
11966,192.377620531481
12353,192.023699322464
12430,191.886394693721
12561,190.869650170004
12812,190.247548823981
12992,189.992092146443
13780,189.688153503263
