"Evaluations","Fitness"
1,8134838.11171
2,2541187.71736082
3,1731479.91683911
11,1061967.33480444
41,919379.228209014
44,771442.186784813
85,733417.53273088
128,646972.002025343
149,571338.272604718
220,553726.003611902
225,453244.162044532
252,432284.387718472
255,423656.035382742
291,406049.543886814
350,332503.25939768
381,307893.363652008
412,298242.41785743
482,288823.277351937
508,264369.475721609
597,201885.817532659
676,167561.197690503
738,152752.142450196
840,144068.136900607
1081,133003.447164538
1101,131773.294816752
1169,129393.060253889
1980,122776.918823579
1996,119091.095171929
2726,113168.881865972
2836,109593.780795285
3011,103734.811099763
3225,98898.5195612912
4541,98289.9079329311
4989,86487.904952629
5343,85825.2579426034
6591,85149.4483973887
6810,83859.531731635
6941,82752.6950820895
7606,82584.426661899
7689,82274.9679570972
7693,81050.868900011
8090,80586.4758330856
8173,80367.6576039682
8179,80153.8272325815
9350,79286.362917842
10346,77560.8685030425
10711,76903.7976516569
11180,76415.7550022037
11510,75820.0348226528
11837,75351.4883435917
12081,75228.7702192297
12336,75199.7038918238
12405,75056.6367788536
12448,75017.1076820113
12497,74764.9869752803
12591,74351.0715099181
12892,74331.4804652765
13181,74130.1532754916
13267,74048.4853455624
13299,73684.7519141589
13386,73658.5311080217
13415,73341.6012301884
13515,73336.9865033704
13720,73099.9910874961
13731,72968.3621117728
13800,72861.3766191165
13930,72830.8962745165
14000,72810.8620862431
14031,72601.3926432959
14084,72503.1950581031
14123,72501.5954121029
14174,72453.3311295135
14198,72399.7395421355
14272,72368.5406294102
14309,72358.4486432367
14313,72339.3639154569
14364,72267.8519353909
14393,72244.5250802054
14439,72222.7393542655
14455,72184.0060729697
14456,72091.9808047168
14516,72069.9629804116
14527,72064.8938116935
14532,72039.4839752602
14534,72002.6356494087
14555,71964.5419458886
14594,71946.3528099457
14609,71858.0210225613
14656,71820.8060575789
14675,71771.3678518245
14698,71766.6449609901
14701,71747.4613598772
14706,71725.5539448376
14709,71711.6464815785
14721,71711.3504138016
14742,71661.2391533438
14754,71645.0940089919
14764,71620.46626664
14788,71613.0860845281
14791,71605.8590795066
14793,71568.059051504
14810,71561.6841732714
14818,71530.9755264542
14838,71515.6720769377
14843,71504.8986725982
14862,71496.0508932085
14864,71470.6838611739
14871,71465.0500636653
14874,71457.236296366
14875,71446.5037787892
14911,71439.1267831232
14918,71425.8864410845
14921,71415.6284148512
14925,71412.8973240896
14926,71411.7853532593
14927,71392.7188148202
14938,71389.8176444158
14951,71380.2294068886
14958,71376.8023116981
14971,71366.3626402433
14981,71365.2870583902
