"Evaluations","Fitness"
1,385615.800174631
2,316788.505809653
4,263896.24766109
24,237945.666624503
43,234738.752491058
47,231399.218648437
58,227013.894510703
61,201655.361082801
67,176588.960293844
68,173206.884295736
72,167635.161809649
74,165449.469927588
87,160310.113044635
102,157993.636005458
103,155739.848753257
108,141714.354207837
134,132773.704041491
144,92792.5360548962
198,87017.6557014452
208,80583.3732994145
228,73532.0882976463
251,61770.7988002973
353,57243.097907538
400,55424.0365244506
413,51329.2706767064
484,50895.9777245365
504,50407.5005035172
525,49240.0584664326
562,46935.7621095599
585,46234.4574193305
619,41837.658704747
628,40852.4135959654
876,37670.9839001028
878,35999.45105892
935,35897.4004154552
1027,34845.3925772724
1049,34405.4415419574
1086,34092.0099104469
1105,33723.6696638758
1135,33708.4593223262
1229,33367.0150879811
1231,31893.8221546666
1236,31639.6681400363
1531,31016.8378860358
1572,27882.0663059161
1759,26911.6675140507
1940,25776.8655736817
2164,25419.5293926458
2212,24875.5237460595
2322,24054.240098159
2453,23967.3430683012
2618,22968.0809921851
3081,21448.333200534
3356,20672.5689805799
4133,19061.2730697808
5544,18838.3273859699
6280,18536.4643098041
6357,18183.3372606399
6409,17655.5029533329
7601,17578.4294249562
7669,16961.0181673563
7788,16958.3860942112
7833,16929.7715115341
7973,16822.7036684624
8031,16472.3115617706
8096,15909.852528172
8680,15758.1063965454
8767,15488.8859030585
8918,15081.9943796694
8938,14876.841683666
9155,14864.325991931
9247,14713.0358329007
9334,14484.6329647388
9771,14269.5179541678
9950,14263.0504298572
10000,14132.2545468269
10134,14022.4308048458
10403,14021.2196544589
10475,13786.8582895402
11218,13728.8917895237
11257,13396.8299892743
11458,13238.0754632738
12012,13166.1666182171
12078,13160.9759135953
12098,13146.7083967235
12152,13146.4880059266
12184,12971.6951347954
12333,12917.1190972551
12356,12882.2246160883
12407,12845.2694877144
12464,12839.1307399877
12576,12792.0219175991
12635,12730.9541944735
12639,12671.1984328887
12655,12652.1203588655
12676,12637.8640631052
12755,12570.8036238646
12823,12550.4914722145
12828,12548.7756742072
12848,12490.6973868831
12891,12462.9705759678
13086,12452.1741161112
13102,12417.60690077
13106,12386.8792347604
13170,12357.3692175056
13206,12253.4377430663
13355,12242.9776005866
13404,12231.8466984106
13415,12213.3327306829
13479,12208.9378459006
13489,12136.5416007848
13594,12124.680380091
13627,12090.9802584825
13644,12064.159206176
13649,12009.4795086052
13695,11993.1201825256
13726,11986.5629559238
13782,11985.7656478455
13797,11934.000894355
13831,11932.7002637504
13836,11929.3728132229
13839,11912.6093305532
13855,11878.6797134411
13894,11877.0703062995
13897,11865.5183623048
13910,11857.4247712848
13927,11835.0812365801
13933,11811.287690601
13958,11793.6148789859
13961,11754.6010970714
14005,11732.3720219123
14029,11730.9548151237
14032,11724.7560806088
14058,11703.4046839633
14093,11688.4930028502
14099,11680.0110309381
14140,11671.6898186536
14147,11651.6938479733
14154,11626.62475102
14181,11620.538547951
14199,11618.1510530277
14226,11598.2183248456
14241,11595.2152144169
14242,11592.4895568083
14247,11579.0301623303
14275,11578.9763570903
14281,11545.0735144767
14347,11543.387849418
14351,11537.464300469
14356,11534.9559643258
14362,11527.7304255843
14403,11520.8216155882
14407,11518.9155484999
14420,11516.459122694
14431,11514.9793068245
14458,11505.6998540528
14462,11504.3662646739
14467,11493.5967864217
14498,11489.4591911265
14509,11485.1648962596
14527,11483.9819683844
14529,11478.554610543
14571,11476.6181461463
14578,11474.1376044463
14586,11473.9835921939
14589,11473.0133351864
14594,11470.9687226968
14599,11466.2211377354
14610,11460.5963979569
14626,11458.6969090116
14631,11454.8774547275
14633,11454.7872092391
14643,11450.5345259473
14653,11446.7733160591
14657,11444.8203303033
14680,11439.2630945227
14690,11437.7962952825
14696,11436.7404497721
14698,11435.9013873745
14702,11429.6797702209
14712,11428.7381959305
14717,11425.3236239575
14724,11424.215575811
14728,11422.4712816625
14733,11419.318124823
14750,11418.43834199
14762,11414.7702765121
14763,11413.6250215801
14767,11410.9781295825
14773,11409.4259998868
14775,11407.5294966411
14778,11407.524314881
14788,11407.3105209321
14790,11404.6732715115
14798,11404.0154549061
14805,11399.9380874599
14810,11398.6999376696
14822,11398.196521988
14825,11395.9879057739
14827,11395.8016852393
14833,11395.2603450696
14840,11391.4614969795
14843,11391.3713311076
14847,11389.0193622107
14849,11388.8337346643
14860,11388.3190549963
14868,11388.1082267407
14882,11386.4005566617
14886,11385.7990256945
14887,11384.8981821467
14891,11383.7077640199
14898,11383.7051018392
14912,11383.3875668625
14918,11381.2735074982
14921,11380.9548946756
14928,11380.1474609324
14933,11379.5703196787
14937,11378.3277424086
14942,11377.1312043016
14947,11376.9154999936
14951,11376.2811227385
14957,11375.110986106
14965,11372.4215908095
14976,11372.3451247541
14978,11372.1561740992
14979,11371.6968384377
14987,11370.99515212
14989,11370.4731781464
14995,11370.3628839266
14997,11370.3406257272
14999,11369.7812794865
