"Evaluations","Fitness"
1,2271.41256650654
12,2104.00375702162
723,2103.52811013268
728,2103.46951885371
2531,2103.08658385652
2532,2102.97425794809
4331,2102.67974259993
4332,2102.60124718041
6131,2102.40114019325
6132,2102.34625843062
7931,2102.20914988031
7932,2102.17076451167
9731,2102.0762420334
9732,2102.04938788931
11531,2101.98393437292
11532,2101.96514412289
13331,2101.91967564844
13332,2101.90652622232
15131,2101.87486929385
15132,2101.86566653253
16931,2101.84359047438
16932,2101.83714944158
18731,2101.82173725884
18732,2101.81722897693
20531,2101.80646056743
20532,2101.80330498621
22331,2101.79577695758
22332,2101.79356815662
24131,2101.788303367
24132,2101.78675725823
25931,2101.78307427241
25932,2101.78199202169
26346,2101.37852257155
26347,2101.10030795919
26352,2101.04895824515
26354,2101.04299268249
26361,2100.81035120509
26362,2100.71896430061
26365,2100.67956212078
26366,2100.65499230638
26367,2100.35002609143
26368,2100.04080299769
26370,2100.01001732473
26372,2099.79427684308
26374,2099.7906909934
26375,2099.28709395857
26376,2099.26275860664
26377,2099.25555987724
26379,2099.05719699533
26380,2098.66593139412
26381,2098.20019122082
26382,2097.94494764152
26383,2097.5491314101
26384,2097.36327139376
26389,2097.23618128688
26391,2096.97694367361
26392,2096.56159603465
26393,2096.26634850927
26394,2095.95665075274
26395,2095.89287537478
26396,2095.75012762416
26397,2095.25415013371
26398,2095.02291762251
26399,2095.00208617471
26400,2094.46183497168
26401,2094.15658780646
27754,2093.44872621941
27766,2093.44872262156
27779,2093.44679053248
27780,2093.44673440468
28145,2093.39061974105
28146,2093.06773763866
28147,2092.87357051001
28152,2092.84054121018
28154,2092.83665358807
28161,2092.67788625389
28162,2092.61449852076
28165,2092.58866629488
28166,2092.57155405298
28167,2092.35866080251
28168,2092.1427877369
28170,2092.12240396583
28172,2091.97255182867
28174,2091.97120793389
28175,2091.61927310951
28176,2091.60282146316
28177,2091.59783155209
28179,2091.46014373476
28180,2091.18684091391
28181,2090.8614058926
28182,2090.68331848709
28183,2090.40683022509
28184,2090.27731131365
28189,2090.19126373884
28191,2090.01075995695
28192,2089.72059970968
28193,2089.51450954191
28194,2089.29830421234
28195,2089.25424454776
28196,2089.15490422233
28197,2088.80830307901
28198,2088.64702342118
28199,2088.63302450771
28200,2088.25543176559
28201,2088.04234184994
29543,2087.64469498987
29544,2087.62159993373
29545,2087.37348493565
29546,2087.31059410226
29551,2087.11538366545
29552,2086.81165073879
29553,2086.40577281505
29554,2085.89157235937
29566,2085.89156990465
29579,2085.89021750441
29580,2085.89017821501
29966,2085.83255387092
29967,2085.68381431459
29968,2085.53298888766
29970,2085.51929168591
29972,2085.41496662789
29974,2085.41459733955
29975,2085.16852868148
29976,2085.15729824804
29977,2085.15382941805
29979,2085.0580193839
29980,2084.86699312828
29981,2084.63947433234
29982,2084.51509886749
29983,2084.32184280311
29984,2084.23146528411
29989,2084.17266057667
29991,2084.04677957756
29992,2083.84395312343
29993,2083.69997572513
29994,2083.54891771342
29995,2083.51836166722
29996,2083.44910915843
29997,2083.20677407711
29998,2083.09416403562
29999,2083.0846505152
30000,2082.82062131472
30001,2082.67174409276
30693,2082.58753794149
30694,2082.48708260541
30698,2082.48693008332
30699,2082.28808534865
30701,2082.0133784934
30702,2081.647611378
30704,2081.43294408238
30705,2081.37560274618
30706,2081.17061812119
30707,2080.86044454129
30708,2080.2613283019
30713,2080.21379659834
30716,2080.01102336356
30721,2079.97040129222
31343,2079.76868573236
31344,2079.75310229306
31345,2079.5800048944
31346,2079.53656441104
31351,2079.40283260526
31352,2079.1908026566
31353,2078.90727120998
31354,2078.54791399101
31366,2078.54791230396
31379,2078.54696565423
31380,2078.54693815168
31779,2078.30615150735
31780,2078.17257313074
31781,2078.01344997591
31782,2077.92652715282
31783,2077.79138791005
31784,2077.72826364906
31789,2077.68780036545
31791,2077.5999147737
31792,2077.45807625815
31793,2077.35743208157
31794,2077.25183147569
31795,2077.23058224566
31796,2077.1822454918
31797,2077.01275093719
31798,2076.93406391046
31799,2076.92754444847
31800,2076.74286401044
31801,2076.63878995738
32477,2076.56154915274
32478,2076.45611452382
32479,2076.20666374678
32480,2076.05112422622
32483,2075.59619151457
32484,2075.27253374056
32485,2075.01193455912
32486,2074.94309713376
32493,2074.67607812917
32494,2074.60634249392
32499,2074.46995991418
32501,2074.27883131551
32502,2074.02337743473
32504,2073.87427652779
32505,2073.83472069246
32506,2073.69181455496
32507,2073.47527614903
32508,2073.05647788146
32513,2073.02612118897
32516,2072.88592922462
32521,2072.86040927468
33143,2072.46939545129
33144,2072.45877276278
33145,2072.33789030272
33146,2072.30776768336
33151,2072.21558401432
33152,2072.06744876926
