"Evaluations","Fitness"
1,3254.42040970687
2,2266.51354277641
18,2121.8053433089
1082,2121.31866561038
1083,2121.17928506484
1090,2120.84267157012
1091,2120.73167742996
1092,2120.70184029684
1093,2120.56268762384
1094,2120.53519887404
1096,2120.48120421759
1099,2120.44234815549
1100,2120.28062202393
1101,2120.15747850912
1102,2120.14429144678
1112,2119.91912151617
1115,2119.81658822157
1116,2119.52183934001
1117,2119.47559943405
1120,2119.44849004212
1123,2119.28970025762
2912,2119.26402728118
2915,2119.19291618199
2916,2118.98693379308
2917,2118.95459506499
2920,2118.93664931856
2923,2118.82711385059
4712,2118.81606452129
4715,2118.7666112333
4716,2118.62259105687
4717,2118.59996825819
4720,2118.58791134136
4723,2118.51202903057
6512,2118.50768615961
6515,2118.47322785392
6516,2118.37249580337
6517,2118.35666685667
6520,2118.34847451668
6523,2118.29574523235
8312,2118.29436713586
8315,2118.27032422987
8316,2118.19985201023
8317,2118.18877518361
8320,2118.18316182149
8323,2118.14644160573
10112,2118.14629127565
10115,2118.12949941638
10116,2118.08018856834
10117,2118.07243647338
10120,2118.06856654507
10123,2118.04295563285
11915,2118.03151383137
11916,2117.99700589354
11917,2117.99158025207
11920,2117.98890042059
11923,2117.97101846905
13715,2117.96321389623
13716,2117.9390630711
13717,2117.93526552632
13720,2117.93340391227
13723,2117.92090893283
15515,2117.91554602908
15516,2117.89864276985
15517,2117.89598468658
15520,2117.89468854806
15523,2117.8859530319
17315,2117.88224814493
17316,2117.87041699945
17317,2117.86855643823
17320,2117.86765256701
17323,2117.86154308073
19115,2117.85897374121
19116,2117.85069249602
19117,2117.84939015072
19120,2117.84875911948
19123,2117.84448511285
20915,2117.84269837505
20916,2117.83690177617
20917,2117.83599015777
20920,2117.83554925842
20923,2117.83255874433
22715,2117.8313138098
22716,2117.82725632424
22717,2117.82661820277
22720,2117.82630997626
22723,2117.82421724876
23523,2117.62846158743
23524,2117.23135393867
23526,2117.14748953143
23527,2116.96533499613
23528,2116.4288463831
23529,2116.0252000882
23532,2115.66094929485
23533,2115.40228716967
23534,2115.21539862784
23535,2115.09507051042
23536,2114.91214881335
23537,2114.42362594746
23538,2114.28100209176
23540,2114.17826452388
23541,2113.98426790344
23542,2113.80792905613
23543,2113.63278997711
23544,2113.62116847063
23545,2113.14499639622
23546,2112.76778401313
23547,2112.24011879208
23548,2112.21238498757
23549,2112.20099341776
23552,2112.12889205498
23553,2111.73952247002
23554,2111.67532939638
23559,2111.65468234126
23561,2111.37711189172
23562,2110.91171744719
23565,2110.89177481457
23571,2110.74419210344
23580,2110.489407231
23581,2110.1735569109
24517,2109.98337225014
24520,2109.98315668907
24523,2109.98169208968
25323,2109.54251093947
25324,2109.26511868533
25326,2109.20757980026
25327,2109.08065472555
25328,2108.70569579643
25329,2108.42372649001
25332,2108.17050023466
25333,2107.99001984704
25334,2107.85978096775
25335,2107.77613438556
25336,2107.64867229761
25337,2107.30728939149
25338,2107.2080357925
25340,2107.13728569498
25341,2107.00207116068
25342,2106.87921706756
25343,2106.75720281224
25344,2106.74965085771
25345,2106.41691350562
25346,2106.15344793745
